TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20250709,90,1.5,1327,2,3.2,1323,7,4.5,1034,25.3,28.2,1421,22.5,315,20.3,32.2,21.7,74.5,56.0,1850,23.9,6.4,4.5,-9.00,1010.6,1012.6,1013.8,2334,1011.4,206,3.1,8.0,14.7,-9.0,23.58,3.00,1400,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250709,93,1.4,1233,2,3.8,1433,9,7.0,1438,30.2,36.1,1504,24.1,524,21.9,37.2,22.7,63.6,38.0,1528,26.3,8.9,6.2,-9.00,999.5,1010.2,1011.9,638,1008.1,1652,2.6,11.9,14.7,-9.0,27.60,3.34,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.5,25.0,21.8,17.2,14.3
20250709,95,1.5,1286,2,4.0,1700,7,6.3,1755,28.7,34.6,1620,22.7,522,22.7,31.6,22.4,72.6,48.0,1756,27.6,7.9,5.5,-9.00,992.9,1010.3,1011.9,731,1008.2,1738,1.8,10.2,14.7,-9.0,25.38,3.50,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250709,98,0.7,645,7,2.2,2209,5,4.5,2238,29.6,34.8,1607,24.7,500,23.5,37.1,25.0,71.1,47.0,1605,28.9,7.5,5.3,-9.00,996.4,1009.3,1010.8,706,1007.4,1746,1.1,10.1,14.7,-9.0,26.26,3.52,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250709,99,1.9,1656,7,3.5,546,9,6.0,304,28.9,34.0,1437,24.1,459,24.7,33.0,23.6,79.0,63.0,1612,31.3,7.5,5.2,-9.00,1006.6,1010.0,1011.5,738,1008.2,1748,1.4,11.5,14.7,-9.0,27.16,3.31,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250709,100,1.9,1603,9,5.0,1518,9,7.3,1524,21.6,26.3,1416,17.7,2358,19.7,28.4,15.6,89.3,73.0,1424,23.0,5.2,3.7,-9.00,927.8,1013.1,1015.6,2358,1011.4,1458,5.0,7.1,14.6,-9.0,20.19,3.18,1400,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250709,101,2.4,2099,7,3.9,1641,2,6.6,1417,29.9,35.6,1524,24.4,522,21.3,36.2,23.0,62.0,38.0,1631,25.4,9.1,6.4,-9.00,1001.1,1009.6,1011.3,633,1007.2,1658,1.8,11.5,14.7,-9.0,26.48,3.01,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.8,23.0,20.3,16.6,15.3
20250709,102,2.0,1727,18,4.7,1453,14,6.8,1335,27.0,30.8,1159,23.6,48,22.5,34.5,22.7,77.9,57.0,1339,27.3,7.9,5.5,-9.00,1004.4,1008.5,1009.5,903,1007.4,257,1.1,13.1,14.7,-9.0,28.59,3.42,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250709,104,1.2,1066,5,3.4,1251,5,5.7,1255,25.4,29.4,1150,22.3,2358,21.1,34.6,19.1,77.9,61.0,1743,25.0,6.7,4.7,-9.00,1002.8,1011.4,1012.8,2344,1010.3,343,4.1,8.4,14.6,-9.0,24.29,3.44,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.9,24.3,20.9,15.7,13.5
20250709,105,1.4,1226,7,2.8,1236,7,5.9,1413,27.1,31.5,1157,24.3,2352,20.1,34.6,21.0,66.4,48.0,1931,23.6,7.0,4.9,-9.00,1009.3,1012.4,1013.6,2358,1011.2,408,3.5,8.0,14.6,-9.0,22.31,3.25,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.9,25.6,20.9,15.9,14.7
20250709,106,2.2,1870,2,5.6,1515,5,7.4,1515,25.8,28.8,940,22.3,2349,19.8,37.1,17.5,70.0,45.0,2145,23.3,7.5,5.3,-9.00,1007.9,1012.5,1013.9,2325,1011.4,505,2.5,10.0,14.6,-9.0,27.20,3.46,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
