TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20210824,90,0.7,636,14,2.4,1258,14,3.5,1258,21.2,22.8,1223,19.6,531,20.6,22.6,19.5,97.1,90.0,1,24.4,-9.0,-9.0,-9.00,999.2,1001.2,1005.5,1,998.5,1621,8.6,0.0,13.3,-9.0,-9.00,-9.00,-9,21.0,-9.0,-9.00,6.1,648,2.7,719,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20210824,93,0.9,760,23,3.6,2243,25,6.5,1035,22.4,23.9,2144,20.3,9,21.7,23.2,20.1,96.6,89.0,1146,26.0,1.2,0.8,-9.00,989.5,1000.3,1005.3,1,997.5,1445,9.8,0.0,13.3,-9.0,4.17,0.87,1100,16.0,13.7,16.97,4.0,1452,1.3,1844,-9.0,-9,-9.0,-9,-9.0,-9,25.5,25.8,24.7,20.8,17.3
20210824,95,1.1,921,36,3.3,715,36,5.2,720,21.4,23.4,1128,19.2,1,21.3,21.9,19.3,100.0,100.0,1,25.4,1.1,0.8,-9.00,982.5,1000.1,1005.1,1,997.2,1438,8.6,0.2,13.3,-9.0,4.17,0.77,1000,31.0,41.2,-9.00,6.5,2104,2.8,2242,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20210824,98,1.2,1060,20,3.7,2346,20,6.9,2335,22.8,25.6,1602,19.8,49,22.4,24.1,20.0,97.8,90.0,940,27.2,-9.0,-9.0,-9.00,986.8,999.9,1004.6,1,997.0,1209,8.3,0.2,13.3,-9.0,5.45,0.98,1100,14.1,-9.0,-9.00,3.5,1341,1.6,439,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20210824,99,1.8,1588,5,3.3,24,20,7.0,1736,22.7,25.7,1509,19.8,134,22.2,24.0,20.1,97.1,83.0,1046,26.8,-9.0,-9.0,-9.00,996.3,999.7,1004.5,2,996.7,1309,9.1,0.1,13.3,-9.0,4.42,0.71,1000,17.2,-9.0,-9.00,4.7,2054,3.3,2112,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20210824,100,2.1,1791,27,7.2,2307,27,13.0,2317,19.7,22.2,1243,17.0,1,19.1,20.9,16.7,96.1,92.0,1255,22.1,1.6,1.1,-9.00,916.2,1000.9,1006.7,1,997.4,1612,8.9,0.6,13.3,-9.0,6.06,2.12,1200,15.0,-9.0,-9.00,3.2,144,1.0,222,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20210824,101,1.8,1569,20,4.1,2348,14,6.6,2340,22.7,24.3,2132,20.9,603,21.2,23.0,20.3,91.5,85.0,1128,25.1,1.3,0.9,-9.00,991.8,1000.4,1005.2,1,997.5,1511,-9.0,0.1,13.3,-9.0,3.72,0.75,1100,14.6,13.2,-9.00,4.0,1448,1.7,1532,-9.0,-9,-9.0,-9,-9.0,-9,25.5,25.1,23.4,19.2,15.9
20210824,102,4.3,3689,9,7.4,702,9,11.6,924,22.4,24.9,1405,20.5,333,21.8,23.2,20.7,96.9,92.0,1408,26.2,2.2,1.5,1.00,992.7,996.8,1001.6,2354,992.9,1200,9.0,1.4,13.3,-9.0,8.09,1.61,1300,54.0,-9.0,11.67,30.2,521,7.4,558,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20210824,104,0.8,656,36,2.2,1247,36,3.9,1236,21.3,23.3,1345,19.7,353,20.8,23.5,20.1,97.3,91.0,1300,24.5,1.4,1.0,-9.00,992.1,1000.7,1005.1,1,997.7,1555,10.0,0.1,13.3,-9.0,5.55,1.49,1200,16.6,2.4,15.17,5.2,214,1.4,556,-9.0,-9,-9.0,-9,-9.0,-9,23.6,22.8,22.1,19.2,13.4
20210824,105,0.9,807,29,2.5,1440,18,4.3,2358,23.2,25.6,1424,21.5,549,21.7,23.8,21.0,91.5,82.0,1405,26.0,1.6,1.1,-9.00,998.1,1001.2,1005.6,1,998.1,1556,9.4,0.3,13.3,-9.0,5.92,1.61,1200,25.3,-9.0,-9.00,9.3,203,3.0,245,-9.0,-9,-9.0,-9,-9.0,-9,23.8,24.5,23.9,20.5,16.5
