TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20191223,90,2.6,2248,36,7.4,1403,36,10.4,1409,4.7,7.5,1015,1.1,2225,-1.0,3.4,-2.7,66.9,46.0,1007,5.7,-9.0,-9.0,-9.00,1018.1,1020.3,1024.6,2322,1016.4,432,6.3,3.7,9.5,-9.0,-9.00,-9.00,-9,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20191223,93,0.7,602,25,1.9,1330,25,2.8,1322,1.6,5.6,1252,-2.9,2350,-0.1,1.3,-6.4,89.0,67.0,1545,6.1,0.8,0.5,-9.00,1010.5,1022.6,1027.3,2253,1018.7,29,8.1,2.1,9.5,-9.0,4.91,1.47,1100,2.7,-9.0,3.50,-9.0,-9,-9.0,-9,-9.0,-9,0.5,250,0.5,250,3.7,7.3,10.3,16.3,17.7
20191223,95,0.5,450,36,2.7,1028,36,4.3,1025,0.8,3.5,1507,-3.4,2359,0.6,0.9,-7.0,99.0,89.0,1529,6.4,0.4,0.3,-9.00,1003.6,1023.1,1028.0,2313,1018.6,16,9.0,0.0,9.5,-9.0,2.34,0.51,1100,1.9,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20191223,98,0.9,820,34,2.2,1224,36,5.2,1215,1.5,4.1,1429,-1.8,2359,0.2,1.9,-8.8,91.5,76.0,1448,6.2,-9.0,-9.0,-9.00,1008.8,1023.3,1028.0,2318,1018.6,144,5.8,0.2,9.6,-9.0,3.13,0.65,1200,2.7,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20191223,99,0.6,545,5,2.4,1238,2,4.9,1232,0.8,5.5,1329,-3.7,2350,-0.4,1.5,-9.9,92.1,67.0,1430,6.0,-9.0,-9.0,-9.00,1019.4,1023.3,1028.0,2304,1018.0,107,5.8,2.1,9.5,-9.0,5.38,1.22,1400,1.8,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20191223,100,2.9,2484,29,5.9,318,29,9.3,302,-1.2,2.7,1333,-6.6,1,-3.4,-1.3,-7.8,85.5,67.0,1137,4.8,1.1,0.7,-9.00,928.4,1022.0,1027.8,2327,1018.2,534,5.8,4.9,9.6,-9.0,8.64,1.84,1100,0.5,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20191223,101,0.6,554,18,1.8,1317,20,2.6,1317,2.0,5.4,1313,-0.9,2313,0.1,0.5,-8.7,88.0,68.0,1432,6.1,0.8,0.5,-9.00,1012.7,1022.3,1027.0,2254,1018.3,144,-9.0,2.1,9.5,-9.0,4.55,1.34,1200,2.4,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,3.9,8.0,11.3,16.0,17.2
20191223,102,6.9,5934,32,10.8,25,36,16.2,536,3.4,7.2,1,1.3,2348,-1.3,3.1,-2.7,71.0,62.0,2058,5.6,1.9,1.3,-9.00,1018.1,1022.6,1026.9,2323,1016.1,4,5.4,1.9,9.5,-9.0,5.50,1.04,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20191223,104,1.9,1667,36,4.8,1522,32,7.9,1148,5.0,9.3,1223,0.5,2356,-1.3,2.8,-4.4,65.4,39.0,1046,5.6,1.8,1.3,-9.00,1010.2,1019.6,1024.1,2333,1015.8,34,5.8,4.9,9.6,-9.0,7.20,1.72,1100,0.0,0.0,1.47,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,5.0,8.5,11.0,15.3,16.2
20191223,105,2.4,2044,23,5.0,201,23,8.3,200,6.3,10.0,1223,3.1,4,-0.5,4.2,-1.3,62.4,42.0,1059,5.9,1.9,1.3,-9.00,1016.9,1020.2,1024.7,2340,1016.6,34,6.6,2.9,9.6,-9.0,5.44,1.18,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,5.4,8.5,11.3,16.0,17.2
