TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20150121,90,1.6,1406,36,3.2,1237,5,5.2,1203,2.4,5.0,1453,-1.3,55,-1.6,2.6,-3.3,75.3,61.0,1015,5.5,-9.0,-9.0,-9.00,1021.3,1023.6,1028.2,8,1020.9,2354,8.5,2.2,9.9,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,95,0.5,428,27,1.8,1534,27,3.1,1533,-1.8,4.7,1501,-9.3,718,-5.9,-2.1,-13.2,75.5,47.0,1445,4.0,0.8,-9.0,-9.00,1003.7,1023.2,1028.0,143,1020.3,1454,8.5,4.6,9.9,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,1.8,1,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,98,1.1,915,36,3.2,2346,36,5.2,2341,0.0,5.3,1620,-5.4,631,-5.3,-0.9,-7.0,68.4,49.0,1440,4.1,-9.0,-9.0,-9.00,1008.4,1022.2,1026.8,3,1019.4,2343,-9.0,1.4,10.0,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,99,1.6,1425,5,4.2,219,7,7.3,753,-0.1,4.4,1608,-4.8,655,-6.9,-1.0,-7.7,60.4,50.0,1445,3.7,-9.0,-9.0,-9.00,1018.9,1022.6,1027.1,1,1020.0,2334,-9.0,1.9,10.0,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,100,1.2,1047,7,3.7,1823,7,5.2,1822,-1.9,3.7,1604,-7.0,703,-4.6,-2.3,-9.1,82.5,57.0,1533,4.4,-9.0,-9.0,-9.00,929.6,1023.6,1028.9,36,1019.5,1548,8.8,1.4,10.0,-9.0,5.29,1.13,1000,0.1,-9.0,0.50,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,101,0.7,640,34,2.4,903,34,4.4,847,-1.2,3.7,1608,-5.6,756,-4.8,-1.5,-8.2,77.1,53.0,1509,4.3,0.6,-9.0,-9.00,1013.7,1023.6,1028.2,1,1020.4,2352,7.6,2.0,10.0,-9.0,5.66,1.03,1300,-9.0,0.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,3.3,1,0.7,4.9,7.6,13.6,16.4
20150121,102,2.9,2523,7,6.3,1357,7,8.2,1352,0.8,3.9,1450,-1.6,417,-6.4,1.1,-0.9,59.4,36.0,1358,3.9,-9.0,-9.0,-9.00,1005.0,1023.2,1026.5,19,1020.7,1431,7.6,3.0,10.0,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,104,1.1,917,29,2.4,1902,29,3.4,1857,2.9,4.9,1522,0.1,345,-1.6,4.8,-4.9,72.1,61.0,1125,5.4,0.2,-9.0,-9.00,1013.3,1023.2,1027.6,1,1020.2,2356,8.9,1.0,10.0,-9.0,5.01,1.09,1100,0.0,6.0,0.83,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.1,4.9,6.7,12.0,14.8
20150121,105,1.2,1016,32,2.5,419,32,4.3,440,3.2,5.6,1208,-0.1,403,-2.0,2.9,-3.8,68.6,55.0,1052,5.3,-9.0,-9.0,-9.00,1020.0,1023.3,1027.7,22,1020.3,2356,-9.0,1.3,10.0,-9.0,5.18,1.16,1000,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,4.1,6.0,8.2,12.7,14.9
20150121,106,1.9,1671,36,4.7,1251,34,6.4,2331,4.2,6.3,1552,1.2,343,-0.4,2.9,-2.6,71.9,63.0,1046,6.0,-9.0,-9.0,-9.00,1017.8,1022.8,1027.4,15,1019.4,2358,-9.0,0.0,10.0,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,108,2.0,1705,7,3.7,1108,7,5.6,1100,2.6,6.5,1337,-1.2,725,-4.9,0.8,-4.1,58.3,42.0,1306,4.3,0.6,-9.0,-9.00,1011.4,1022.2,1026.6,1,1019.5,2338,8.8,1.5,10.0,-9.0,5.67,1.29,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.6,4.7,6.7,13.7,16.6
20150121,112,2.2,1942,2,3.9,2015,36,5.2,1738,1.6,5.7,1533,-1.6,516,-2.3,0.0,-4.6,75.3,57.0,1324,5.2,0.9,-9.0,-9.00,1013.3,1022.3,1026.6,1,1019.8,2350,8.9,1.4,10.0,-9.0,4.86,1.25,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,114,0.5,467,29,1.4,1318,29,2.6,1314,2.6,7.7,1436,-1.6,540,-2.1,-0.2,-3.8,72.1,51.0,1442,5.3,-9.0,-9.0,-9.00,1003.7,1022.2,1027.3,1,1019.4,1618,8.0,2.5,10.0,-9.0,5.37,1.30,1400,1.0,-9.0,2.17,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150121,115,2.6,2256,5,5.8,1956,2,7.4,1956,5.9,9.2,1227,4.2,303,1.8,5.0,0.6,75.9,54.0,1628,7.0,1.1,-9.0,-9.00,994.7,1022.0,1027.4,1,1018.0,2359,8.4,2.1,10.0,-9.0,-9.00,-9.00,-9,3.5,10.0,6.83,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,3.8,5.1,8.0,12.8,14.5
