TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20230812,90,1.0,871,2,3.2,1133,5,4.0,1128,23.2,24.4,1141,21.8,403,21.0,25.3,21.5,87.8,83.0,1759,24.9,-9.0,-9.0,-9.00,1003.0,1005.0,1006.4,2227,1003.5,204,8.9,-9.0,13.8,-9.0,-9.00,-9.00,-9,0.1,-9.0,-9.00,0.1,159,0.1,249,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230812,93,0.9,813,23,3.0,1309,25,4.3,1452,24.0,28.1,1237,21.7,450,21.8,26.0,21.6,88.3,62.0,1239,26.1,3.2,2.2,-9.00,993.8,1004.7,1006.1,2208,1003.4,209,9.0,2.4,13.8,-9.0,12.14,2.33,1000,2.4,-9.0,6.68,1.1,325,0.9,721,-9.0,-9,-9.0,-9,-9.0,-9,26.8,27.7,26.0,21.5,18.5
20230812,95,0.8,672,36,2.0,7,34,4.2,1,23.1,27.4,1616,20.0,130,21.3,25.5,20.4,90.5,75.0,1620,25.4,2.7,1.9,-9.00,986.9,1004.5,1005.9,2258,1003.5,206,8.5,2.6,13.8,-9.0,11.15,1.55,1500,1.1,0.0,-9.00,0.4,1,0.2,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230812,98,1.0,855,18,3.3,1125,16,7.0,1300,22.6,25.2,1224,20.2,2,21.5,24.8,21.0,94.0,82.0,1107,25.7,1.8,1.2,-9.00,990.9,1004.0,1005.5,2309,1002.6,308,8.3,0.0,13.8,-9.0,6.65,1.12,1200,10.7,-9.0,-9.00,5.9,327,2.7,405,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230812,99,0.8,706,18,3.1,905,20,6.1,900,22.5,24.6,1329,20.1,128,22.0,24.1,21.1,97.3,87.0,1320,26.4,1.4,1.0,-9.00,1001.0,1004.5,1005.8,2240,1002.9,222,8.8,0.0,13.8,-9.0,5.06,0.88,1300,19.7,-9.0,-9.00,5.7,2,1.7,554,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230812,100,0.9,754,11,2.9,1738,20,4.6,1259,20.5,24.5,1227,18.6,516,19.1,22.6,18.8,92.5,75.0,1259,22.1,2.4,1.7,-9.00,920.5,1005.3,1007.2,2254,1003.8,1318,8.1,0.3,13.7,-9.0,9.50,1.46,900,1.6,-9.0,-9.00,0.9,412,0.3,428,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230812,101,1.1,944,23,3.0,1255,16,5.3,1149,24.1,28.5,1157,21.7,345,20.6,26.4,22.1,82.0,54.0,1212,24.3,3.4,2.4,-9.00,995.8,1004.4,1005.7,2149,1003.4,148,8.1,1.1,13.8,-9.0,12.25,2.55,1100,3.1,0.2,-9.00,2.0,315,0.5,321,-9.0,-9,-9.0,-9,-9.0,-9,27.6,27.2,24.9,20.2,16.9
20230812,102,3.0,2589,14,6.3,2400,14,9.4,2357,24.9,28.2,1522,22.0,127,22.7,29.8,20.7,88.0,74.0,1256,27.6,4.7,3.3,-9.00,997.2,1001.2,1002.6,2246,999.7,413,8.1,4.5,13.8,-9.0,18.70,3.05,1100,0.0,-9.0,0.42,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230812,104,0.5,411,32,1.7,1624,34,3.3,1617,23.1,26.1,1113,21.4,557,21.3,25.3,21.8,90.5,75.0,1125,25.4,2.6,1.8,-9.00,996.0,1004.6,1006.1,2209,1002.8,155,9.4,0.7,13.8,-9.0,10.22,2.24,1100,1.2,0.0,6.58,0.8,522,0.3,538,-9.0,-9,-9.0,-9,-9.0,-9,24.9,24.1,23.1,16.7,8.9
20230812,105,1.2,996,36,2.8,1354,9,4.2,1220,24.4,28.0,1122,23.1,615,21.5,25.0,22.1,84.4,70.0,1141,25.7,2.6,1.8,-9.00,1002.0,1005.1,1006.6,2257,1003.3,107,8.3,0.7,13.8,-9.0,8.99,1.86,1000,0.6,-9.0,-9.00,0.6,455,0.4,535,-9.0,-9,-9.0,-9,-9.0,-9,26.5,25.9,24.4,19.5,16.0
