TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20200829,90,1.3,1097,14,3.3,1349,16,4.6,1427,26.9,31.1,1018,24.6,2138,24.3,29.4,24.1,86.1,69.0,1055,30.4,-9.0,-9.0,-9.00,1006.4,1008.4,1010.4,2115,1006.4,446,6.8,7.5,13.1,-9.0,-9.00,-9.00,-9,6.5,-9.0,-9.00,2.9,2101,2.6,2127,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200829,93,0.8,662,23,4.1,1311,20,5.8,1303,26.6,29.9,1151,24.4,504,25.1,28.7,24.1,92.0,75.0,1156,31.8,2.8,2.0,-9.00,998.4,1009.2,1010.8,2355,1007.9,401,8.8,2.1,13.1,-9.0,12.46,2.08,1100,10.9,20.8,9.58,4.9,1250,2.5,1323,-9.0,-9,-9.0,-9,-9.0,-9,27.7,26.2,24.5,22.2,19.3
20200829,95,0.5,459,20,4.4,1344,20,7.3,1340,26.1,30.8,1202,23.2,428,25.5,28.6,23.4,97.5,76.0,1208,32.8,2.7,1.9,-9.00,991.6,1009.1,1010.5,2301,1007.7,1558,7.4,5.5,13.1,-9.0,12.18,2.52,1100,2.5,4.4,-9.00,2.1,1334,0.8,1338,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200829,98,0.8,699,20,4.3,1224,18,9.0,1220,26.1,30.2,1047,24.2,318,25.2,30.4,24.8,95.4,78.0,1032,32.1,-9.0,-9.0,-9.00,996.2,1009.2,1010.9,2249,1007.9,410,7.0,4.4,13.1,-9.0,12.27,2.22,1100,15.2,-9.0,-9.00,11.6,1229,5.5,1239,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200829,99,0.8,654,16,3.0,1341,18,5.4,1337,26.8,30.9,1115,24.1,439,25.0,30.0,24.2,90.9,69.0,1104,31.8,-9.0,-9.0,-9.00,1005.7,1009.1,1010.8,2357,1007.9,1453,6.3,5.8,13.1,-9.0,15.80,2.86,1100,0.0,-9.0,-9.00,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200829,100,1.9,1629,29,4.1,908,25,7.3,1305,23.6,27.7,1147,21.2,416,21.9,25.3,20.6,91.1,73.0,1149,26.2,3.4,2.4,-9.00,924.8,1008.9,1010.8,2133,1007.3,1607,7.4,6.2,13.1,-9.0,15.40,3.08,1100,9.8,-9.0,-9.00,7.7,1940,2.8,1948,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200829,101,0.9,739,23,3.6,1309,25,5.1,1308,27.1,29.8,1152,25.1,551,24.3,28.9,24.6,85.3,68.0,1203,30.4,2.9,2.0,-9.00,1000.6,1009.2,1010.7,2336,1007.9,1511,-9.0,2.7,13.1,-9.0,11.82,1.96,1000,6.6,20.0,-9.00,2.3,2035,1.1,1306,-9.0,-9,-9.0,-9,-9.0,-9,28.4,26.2,24.4,21.1,17.2
20200829,102,2.1,1828,16,6.3,413,16,10.5,411,23.5,26.8,1553,22.0,2358,23.3,25.8,21.5,99.3,91.0,1526,28.6,2.0,1.4,5.43,1003.4,1007.5,1009.3,2145,1005.4,433,8.1,0.9,13.1,-9.0,7.97,1.92,1500,51.7,-9.0,8.67,24.9,803,8.6,804,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200829,104,0.9,774,16,2.1,552,7,3.7,1141,26.9,30.8,1434,24.4,440,23.6,31.4,23.9,83.1,61.0,1027,29.1,4.0,2.8,-9.00,999.4,1007.9,1010.1,2143,1006.3,424,7.0,7.2,13.1,-9.0,17.62,2.72,1000,2.8,12.9,4.07,1.8,2020,0.6,2105,-9.0,-9,-9.0,-9,-9.0,-9,26.3,23.9,21.6,18.2,14.7
20200829,105,1.6,1363,11,3.9,1533,9,6.2,1554,29.2,33.6,1436,26.0,134,24.0,31.7,25.0,75.0,54.0,1048,29.8,5.7,4.0,-9.00,1005.2,1008.3,1010.5,2228,1006.9,410,6.9,7.4,13.1,-9.0,20.85,3.55,1200,0.2,-9.0,-9.00,0.2,-9,0.2,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.0,25.2,23.2,19.0,16.4
20200829,106,0.7,627,16,1.8,1226,16,3.0,1207,25.6,29.7,1421,23.7,610,23.3,36.5,23.2,87.9,67.0,1423,28.6,-9.0,-9.0,-9.00,1003.9,1008.5,1010.3,2249,1007.0,405,6.1,8.1,13.1,-9.0,-9.00,-9.00,-9,2.1,-9.0,-9.00,1.7,1907,0.4,1905,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200829,108,1.3,1122,16,4.0,1100,16,7.4,1057,26.8,29.0,1612,25.5,558,25.0,28.7,23.5,90.1,77.0,1030,31.7,2.0,1.4,-9.00,999.2,1008.9,1010.5,2220,1007.6,537,8.4,1.7,13.1,-9.0,8.70,1.38,1400,13.6,53.4,9.50,6.5,1052,3.1,1055,-9.0,-9,-9.0,-9,-9.0,-9,27.1,25.9,24.8,21.0,17.1
20200829,112,2.0,1709,18,4.1,1032,18,6.8,1041,26.6,28.5,1616,25.4,2346,23.9,29.2,24.3,86.0,68.0,920,29.7,2.8,1.9,-9.00,1000.9,1008.7,1010.4,2331,1007.2,525,8.0,4.9,13.1,-9.0,11.93,2.05,1400,0.3,0.9,4.75,0.2,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.4,24.6,22.9,19.8,16.6
20200829,114,0.5,471,27,2.5,1639,25,4.1,1633,26.1,30.9,1357,23.9,608,23.6,30.0,23.3,87.0,62.0,1359,29.1,2.7,1.9,-9.00,992.3,1009.2,1011.0,2151,1007.1,1546,7.3,3.0,13.1,-9.0,11.49,2.33,1300,35.0,-9.0,-9.00,13.0,1609,5.1,1619,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200829,115,5.1,4443,25,8.1,1225,25,12.7,1238,27.3,30.0,1343,25.4,446,24.6,31.4,23.9,85.6,74.0,1246,31.0,5.2,3.7,-9.00,984.0,1008.8,1010.3,2202,1007.7,457,5.0,7.8,13.1,-9.0,18.95,3.00,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.9,24.0,21.4,16.5,15.5
20200829,119,1.2,1004,16,3.6,939,25,5.9,1535,26.4,28.9,1238,24.9,605,25.6,28.4,23.2,95.9,86.0,1238,32.7,1.7,1.2,-9.00,1004.5,1009.0,1010.8,2247,1007.8,550,8.1,2.5,13.1,-9.0,7.69,1.19,800,18.3,17.8,9.07,5.7,1641,3.3,1847,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
