TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20151130,90,2.3,1960,29,7.4,727,29,12.4,731,5.5,9.4,1205,1.2,2005,-3.0,5.2,-1.6,56.1,29.0,1155,5.0,-9.0,-9.0,-9.00,1020.1,1022.3,1025.7,2304,1019.6,511,-9.0,8.4,9.7,-9.0,-9.00,-9.00,-9,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,95,0.9,810,20,3.3,1228,20,5.0,1256,2.1,7.0,1403,-3.2,2358,-1.7,3.6,-8.3,78.4,35.0,1602,5.5,-9.0,-9.0,-9.00,1005.5,1024.7,1027.5,2321,1022.3,138,-9.0,8.1,9.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,98,1.2,1072,23,3.0,1231,27,5.2,1230,3.8,9.8,1335,-1.5,2354,-1.0,4.7,-2.7,73.3,35.0,1431,5.8,-9.0,-9.0,-9.00,1010.6,1024.2,1026.6,2306,1022.2,225,-9.0,7.2,9.8,-9.0,-9.00,-9.00,-9,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,99,0.6,529,29,2.3,1625,27,4.1,1546,2.1,8.4,1505,-3.0,2339,-1.6,4.5,-4.2,78.3,43.0,1538,5.5,-9.0,-9.0,-9.00,1021.1,1024.8,1026.9,2321,1022.8,52,-9.0,8.3,9.8,-9.0,-9.00,-9.00,-9,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,100,4.6,3974,27,8.2,332,29,13.0,926,0.5,3.8,1435,-5.1,2350,-3.0,0.9,-6.4,78.6,52.0,1346,5.0,-9.0,-9.0,-9.00,930.4,1023.5,1028.6,2342,1020.4,335,-9.0,7.5,9.8,-9.0,9.12,1.83,1200,1.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,101,0.8,673,20,2.6,1538,27,4.8,1630,3.2,8.5,1438,-1.2,2351,0.1,4.6,-8.0,83.4,42.0,1548,6.2,0.9,-9.0,3.92,1014.8,1024.6,1027.3,2345,1023.0,256,3.8,7.0,9.8,-9.0,8.27,1.67,1200,0.2,-9.0,1.25,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,7.7,12.7,14.6,17.6,17.3
20151130,102,3.1,2653,29,7.6,150,29,12.1,128,4.5,6.6,54,2.6,2321,-1.7,6.1,1.9,64.3,53.0,1211,5.4,-9.0,-9.0,-9.00,1007.1,1025.0,1026.1,2220,1023.2,127,2.1,8.3,9.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,104,1.7,1492,32,5.2,831,27,8.2,824,6.6,12.0,1310,0.9,2354,-1.9,9.1,-4.1,58.8,22.0,1434,5.4,1.6,-9.0,-9.00,1012.6,1022.3,1026.0,2332,1019.5,404,2.4,8.8,9.8,-9.0,9.97,1.77,1200,0.0,-9.0,2.50,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,7.1,11.6,13.3,16.2,16.2
20151130,105,3.2,2766,29,5.6,1255,32,9.8,1056,7.7,11.9,1455,2.2,2345,-1.9,9.4,0.2,53.1,27.0,1458,5.4,-9.0,-9.0,-9.00,1019.3,1022.5,1026.1,2334,1019.7,406,-9.0,8.6,9.8,-9.0,11.17,1.93,1200,0.1,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,7.5,11.4,13.8,15.9,16.3
20151130,106,2.6,2249,36,6.2,1608,29,9.8,1057,9.0,13.0,1414,3.3,2343,0.6,6.1,-2.8,57.9,26.0,1420,6.5,-9.0,-9.0,-9.00,1017.3,1022.2,1025.8,2313,1019.6,400,-9.0,7.3,9.8,-9.0,-9.00,-9.00,-9,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,108,2.0,1686,29,4.3,1217,27,6.6,1217,4.1,8.5,1523,0.9,2343,-1.7,5.3,-5.1,69.1,28.0,1513,5.5,1.4,-9.0,-9.00,1013.7,1024.5,1026.5,2311,1022.6,122,2.5,8.5,9.8,-9.0,9.51,1.68,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,8.7,12.6,15.0,18.0,17.8
20151130,112,2.7,2349,36,4.9,310,2,7.0,305,4.8,7.5,141,2.5,2358,2.3,5.8,-4.7,85.3,59.0,1514,7.3,4.0,-9.0,-9.00,1015.8,1024.7,1026.5,2301,1022.6,108,3.1,7.9,9.8,-9.0,8.04,1.51,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,8.9,11.5,14.3,16.8,16.7
20151130,114,0.9,755,20,2.8,1423,23,5.3,1411,5.0,8.6,1453,0.6,2359,1.4,4.7,-6.8,79.6,45.0,1537,6.9,-9.0,-9.0,-9.00,1005.5,1024.0,1026.5,2313,1022.3,454,-9.0,6.3,9.8,-9.0,9.12,1.55,1200,0.7,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,115,4.9,4276,20,8.5,443,18,14.6,208,8.1,10.4,1121,5.8,2243,1.4,7.1,2.5,63.1,53.0,1915,6.8,1.7,-9.0,-9.00,994.7,1021.8,1025.4,2329,1019.3,507,6.1,6.2,9.8,-9.0,-9.00,-9.00,-9,1.0,0.0,2.75,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,7.8,11.4,14.3,16.1,15.0
20151130,119,1.5,1326,25,3.7,1338,27,5.9,1203,4.8,9.4,1319,-0.4,2350,0.9,4.3,-2.8,78.6,43.0,1512,6.6,1.3,-9.0,0.83,1020.4,1024.6,1026.6,2328,1022.8,116,3.3,8.3,9.8,-9.0,7.89,1.36,1300,0.6,-9.0,3.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20151130,121,1.1,971,23,4.2,1235,23,7.4,1229,4.4,9.3,1344,-0.7,2355,0.8,5.2,-1.2,80.4,43.0,1457,6.6,-9.0,-9.0,-9.00,994.4,1024.0,1027.4,2354,1022.1,1410,-9.0,5.4,9.9,-9.0,-9.00,-9.00,-9,0.7,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
