TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20161107,90,1.0,888,36,5.4,2248,36,9.1,2301,11.3,14.2,2217,8.4,324,9.5,12.1,8.3,89.9,76.0,1353,11.9,-9.0,-9.0,-9.00,1019.4,1021.6,1028.1,1,1016.3,2218,-9.0,1.9,10.4,-9.0,-9.00,-9.00,-9,1.4,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20161107,93,0.7,605,25,3.0,2246,23,5.7,2246,11.9,16.6,1532,8.8,9,7.6,12.2,7.5,76.0,54.0,1402,10.4,1.5,1.0,-9.00,1011.1,1022.2,1027.0,1,1018.1,2017,9.4,1.6,10.4,-9.0,5.28,1.53,1300,3.0,3.0,6.50,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,14.5,16.4,19.2,21.6,20.5
20161107,95,1.4,1233,27,4.2,2352,18,6.9,1529,10.6,16.1,1312,7.5,2357,6.6,11.6,6.4,77.6,50.0,1315,9.8,-9.0,-9.0,-9.00,1004.1,1022.7,1027.1,129,1018.7,1552,-9.0,1.1,10.4,-9.0,-9.00,-9.00,-9,8.0,8.1,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20161107,98,2.0,1722,25,4.8,1537,25,8.3,1645,12.4,18.7,1228,7.8,2354,6.2,12.7,8.4,67.4,45.0,1229,9.6,-9.0,-9.0,-9.00,1009.1,1022.2,1025.9,50,1019.1,1545,-9.0,1.9,10.4,-9.0,-9.00,-9.00,-9,5.9,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20161107,99,2.2,1937,18,4.0,1502,20,7.7,1458,11.8,18.1,1224,7.6,2357,6.8,12.9,6.7,72.4,51.0,1224,9.9,-9.0,-9.0,-9.00,1019.2,1022.8,1026.2,46,1019.8,1541,-9.0,1.6,10.4,-9.0,-9.00,-9.00,-9,2.3,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20161107,100,3.4,2962,27,7.6,2156,27,11.8,2227,8.2,11.9,1540,3.5,411,5.5,8.7,1.9,84.5,65.0,1505,9.0,2.1,1.4,-9.00,931.9,1022.2,1028.9,1,1016.8,2332,-9.0,6.2,10.4,-9.0,8.00,1.62,1100,1.6,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20161107,101,1.0,902,20,3.1,1947,20,6.2,1946,12.1,15.6,1542,9.5,1,8.2,12.2,7.9,78.0,57.0,1531,10.9,1.3,0.9,-9.00,1013.5,1022.9,1027.8,217,1018.7,2021,-9.0,1.2,10.4,-9.0,4.15,1.27,1200,3.5,3.5,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,13.5,16.7,18.9,19.7,17.9
20161107,102,4.7,4060,29,9.5,1516,29,13.2,1524,9.8,13.4,146,4.2,2359,6.9,10.9,4.1,82.8,57.0,1601,10.2,-9.0,-9.0,-9.00,1005.6,1023.2,1024.6,2216,1021.0,1451,9.8,0.0,10.4,-9.0,-9.00,-9.00,-9,2.3,-9.0,6.93,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20161107,104,1.2,1018,23,4.0,2018,23,7.2,2016,13.2,18.0,1520,8.0,137,9.2,12.3,6.8,78.9,51.0,1514,11.7,1.8,1.3,-9.00,1011.9,1021.4,1028.2,1,1015.9,2349,8.0,4.1,10.4,-9.0,5.94,1.55,1100,0.0,0.0,0.50,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,11.8,14.8,16.4,18.0,15.9
20161107,105,1.0,899,32,3.6,2216,29,6.9,2209,12.9,17.8,1520,8.1,137,8.0,15.3,9.0,73.5,52.0,1317,10.7,2.2,1.5,-9.00,1018.5,1021.7,1028.4,1,1016.1,2316,-9.0,4.1,10.4,-9.0,7.50,1.53,1100,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,13.6,15.9,17.7,19.0,17.5
