TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20181002,90,1.6,1346,14,3.9,1421,14,5.6,1554,16.3,21.3,1401,10.5,538,8.3,20.9,8.3,60.0,42.0,1206,11.0,-9.0,-9.0,-9.00,1013.3,1015.5,1017.8,2311,1011.4,1,0.0,11.0,11.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,93,0.9,818,20,3.6,1605,20,5.0,1413,12.3,20.7,1507,5.7,614,7.2,16.6,2.1,75.1,40.0,1515,10.2,3.0,2.1,-9.00,1006.1,1017.6,1020.5,2345,1013.7,1,2.6,7.3,11.8,-9.0,12.67,2.16,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,20.3,22.1,23.2,23.7,21.8
20181002,95,1.0,870,27,3.1,1216,25,5.6,1207,11.9,20.0,1405,4.6,606,8.0,17.2,-0.7,81.0,46.0,1430,10.7,-9.0,-9.0,-9.00,999.2,1017.9,1020.8,2357,1014.5,1,3.5,10.4,11.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,98,1.2,1037,29,3.7,1325,27,5.1,1250,14.1,22.1,1407,7.5,604,7.6,17.9,3.2,67.9,36.0,1532,10.4,-9.0,-9.0,-9.00,1004.0,1017.8,1020.5,2400,1014.4,1,1.4,10.6,11.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,99,0.9,817,20,2.7,1541,25,4.4,1623,12.6,22.5,1532,5.2,627,8.7,16.0,3.3,81.5,44.0,1400,11.3,-9.0,-9.0,-9.00,1014.0,1017.7,1020.0,2308,1014.1,2,2.3,9.2,11.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,100,2.5,2144,27,5.9,1535,29,8.0,1529,8.4,15.8,1419,2.5,459,4.4,11.4,-0.4,80.3,42.0,1516,8.4,3.6,2.6,-9.00,927.9,1017.8,1022.2,2355,1014.1,1419,0.8,8.8,11.8,-9.0,15.68,2.34,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,101,0.9,791,23,2.7,1542,11,5.6,1400,13.4,21.1,1533,7.6,431,8.8,16.2,2.3,77.5,44.0,1439,11.3,3.1,2.2,-9.00,1008.6,1017.7,1020.6,2324,1014.0,1,-9.0,7.4,11.8,-9.0,13.69,2.33,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,20.4,22.2,22.8,21.0,17.6
20181002,102,3.0,2598,34,5.5,1354,36,8.0,1353,16.4,19.1,1224,13.4,2139,8.4,16.7,5.5,59.6,48.0,1313,11.0,5.2,3.7,-9.00,1012.2,1016.5,1018.7,2320,1013.7,3,0.0,11.4,11.8,-9.0,20.87,2.93,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,104,1.8,1532,25,3.3,1857,25,5.4,1857,16.0,20.8,1355,11.9,347,8.1,17.3,7.3,60.5,43.0,1053,10.9,5.0,3.5,-9.00,1006.3,1015.6,1018.2,2302,1011.7,1,0.1,10.8,11.8,-9.0,18.73,2.74,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.9,20.3,20.4,19.3,15.9
20181002,105,2.7,2367,25,4.8,659,25,7.3,707,17.5,23.0,1330,12.2,652,7.2,19.4,12.2,52.0,25.0,1315,10.2,6.5,4.5,-9.00,1012.6,1015.7,1018.3,2314,1011.8,1,0.1,11.0,11.8,-9.0,20.35,2.89,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,20.6,21.6,22.0,20.8,17.8
20181002,106,2.0,1747,14,5.1,1537,11,8.0,1602,16.5,21.5,1142,11.9,539,9.6,19.8,10.4,64.6,45.0,1003,12.0,-9.0,-9.0,-9.00,1011.0,1015.7,1018.3,2307,1011.6,1,0.3,9.6,11.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,108,1.6,1391,27,4.1,1106,29,7.0,1101,15.9,22.0,1622,10.3,653,7.9,19.4,5.0,61.4,35.0,1249,10.7,5.1,3.6,-9.00,1007.1,1017.3,1019.6,2331,1013.7,1,0.5,10.8,11.8,-9.0,18.84,2.71,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,20.8,22.1,22.7,21.1,17.9
20181002,112,2.2,1935,2,4.2,25,29,7.1,1152,16.5,20.4,1438,11.9,635,9.1,19.1,6.3,63.5,39.0,1401,11.6,5.0,3.5,-9.00,1009.1,1017.3,1019.4,2300,1013.9,1,0.1,11.3,11.8,-9.0,18.90,2.73,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.6,20.7,20.8,20.0,16.4
20181002,114,0.7,612,29,2.2,1253,23,4.1,1247,14.2,19.9,1412,9.4,448,8.1,17.1,4.0,69.1,34.0,1406,10.8,3.9,2.7,-9.00,999.8,1017.4,1020.3,2338,1013.5,16,3.6,8.7,11.8,-9.0,17.05,2.72,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,115,2.6,2286,36,7.3,210,36,10.9,205,17.3,21.2,1535,15.0,56,9.8,19.8,11.7,62.1,48.0,1337,12.2,3.0,2.1,-9.00,990.0,1016.0,1018.6,2349,1010.4,1,4.3,7.3,11.8,-9.0,9.28,1.65,1400,0.1,-9.0,0.88,0.1,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.1,20.7,20.5,17.2,14.0
20181002,119,1.3,1137,27,3.9,1512,25,6.8,1505,14.8,21.8,1413,8.9,541,9.6,17.2,6.0,74.1,42.0,1351,12.0,4.2,2.9,-9.00,1013.7,1017.9,1020.3,2354,1014.3,1,0.5,11.0,11.8,-9.0,18.45,2.50,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20181002,121,0.7,612,23,2.6,1551,25,4.8,1538,12.7,20.5,1428,8.4,412,8.3,17.6,6.1,78.1,38.0,1451,10.9,-9.0,-9.0,-9.00,989.3,1017.9,1021.2,2357,1013.6,1,3.0,7.1,11.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
