TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20150530,90,1.6,1409,36,5.1,1229,36,7.5,1228,19.0,25.8,918,14.2,2337,13.3,24.3,11.7,71.9,41.0,709,15.3,-9.0,-9.0,-9.00,1001.3,1003.4,1004.8,2338,1002.1,1355,5.4,4.6,14.6,-9.0,-9.00,-9.00,-9,0.1,-9.0,3.50,0.1,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150530,95,1.2,1013,29,3.3,1646,29,5.4,1525,19.2,23.5,1614,15.1,2344,12.0,25.2,10.0,64.4,44.0,1729,14.1,-9.0,-9.0,-9.00,987.3,1004.9,1006.3,2308,1002.4,1709,-9.0,4.7,14.6,-9.0,-9.00,-9.00,-9,0.3,0.2,-9.00,0.2,1102,0.1,628,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150530,98,1.5,1291,32,4.2,1113,27,6.8,1527,20.1,25.3,1651,16.1,2354,12.6,23.7,12.8,63.1,43.0,1748,14.6,-9.0,-9.0,-9.00,992.2,1004.7,1005.9,2339,1002.4,1715,-9.0,4.6,14.6,-9.0,-9.00,-9.00,-9,0.5,-9.0,-9.00,0.3,1118,0.2,1134,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150530,99,1.3,1089,23,3.2,1241,23,5.7,1235,19.2,24.5,1600,14.9,2341,13.3,25.0,10.6,70.1,48.0,1543,15.3,-9.0,-9.0,-9.00,1001.9,1005.3,1006.3,2326,1003.3,1648,-9.0,4.9,14.6,-9.0,-9.00,-9.00,-9,0.7,-9.0,-9.00,0.3,549,0.2,601,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150530,100,3.1,2640,27,5.7,1150,27,8.1,905,14.4,19.1,1748,7.6,2350,9.0,16.5,5.9,71.8,56.0,333,11.5,-9.0,-9.0,-9.00,917.7,1004.4,1008.6,2345,999.7,1608,-9.0,3.4,14.6,-9.0,9.66,1.70,1600,0.5,-9.0,-9.00,0.5,1243,0.2,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150530,101,1.0,877,25,2.7,1514,20,4.5,1358,20.3,24.0,1831,16.1,2359,14.8,22.7,10.0,71.8,49.0,1829,16.8,2.7,1.8,-9.00,995.9,1004.8,1006.4,2320,1002.7,1734,6.1,3.4,14.6,-9.0,10.14,1.89,1500,0.6,0.4,5.08,0.2,630,0.2,1220,-9.0,-9,-9.0,-9,-9.0,-9,22.5,18.2,15.3,13.6,14.5
20150530,102,4.4,3799,27,8.8,2006,29,12.5,2042,15.2,18.5,1743,13.0,712,12.9,19.7,14.1,86.6,40.0,45,14.9,-9.0,-9.0,6.17,989.7,1006.6,1007.5,854,1005.2,1836,8.0,5.0,14.6,-9.0,-9.00,-9.00,-9,10.5,-9.0,10.00,5.0,341,1.5,419,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150530,104,1.6,1398,18,3.7,1453,36,6.6,1621,20.5,24.7,1217,15.3,2217,11.3,25.0,11.6,57.3,34.0,803,13.5,3.3,2.5,-9.00,994.2,1003.2,1004.7,2346,1001.3,1529,6.1,3.4,14.6,-9.0,9.20,1.55,1600,0.2,0.2,3.17,0.1,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.8,18.7,16.4,12.0,12.0
20150530,105,2.5,2164,7,5.6,1306,9,10.0,1304,21.4,24.9,1247,17.8,2153,11.0,21.3,9.9,53.1,35.0,753,13.3,-9.0,-9.0,-9.00,1000.3,1003.3,1004.7,2348,1001.2,1603,-9.0,2.9,14.6,-9.0,8.91,1.32,1600,0.2,-9.0,-9.00,0.2,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.7,16.6,14.8,12.1,12.4
20150530,106,1.8,1583,36,6.2,1415,34,8.9,1415,19.2,22.7,456,15.6,2324,13.2,19.3,13.8,69.4,49.0,506,15.3,-9.0,-9.0,-9.00,999.0,1003.6,1004.7,2148,1001.2,1626,-9.0,2.6,14.5,-9.0,-9.00,-9.00,-9,1.0,-9.0,-9.00,0.5,819,0.5,852,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
