wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 23,    1.2,   17.0,    5.5,   13.69,    9.8,   17.4, 1001.2,   20.1,    0.3,01,    4.9,   15.92,   15.4,    4.1,  92,SSW,갈매여,Galmaeyeo,958,2017,6
 01,    1.5,   16.2,    4.9,   13.67,   10.2,   16.9, 1005.4,   18.2,    0.6,02,    4.7,   15.55,   16.1,    5.1,  72,N,갈매여,Galmaeyeo,958,2017,6
 01,    1.1,   15.9,    5.0,   13.69,   12.4,   16.5, 1009.5,   17.6,    0.5,03,    4.7,   15.40,   15.4,    4.5,  75,N,갈매여,Galmaeyeo,958,2017,6
 03,    1.1,   15.9,    5.5,   13.63,    7.7,   17.3, 1012.2,   19.3,    0.4,04,    4.9,   15.30,   15.5,    3.6,  78,N,갈매여,Galmaeyeo,958,2017,6
 02,    0.5,   15.8,    6.0,   13.65,    8.1,   18.7, 1015.1,   20.7,    0.2,05,    5.2,   15.34,   17.0,    2.8,  74,SSE,갈매여,Galmaeyeo,958,2017,6
 22,    1.4,   15.9,    6.0,   13.71,   20.7,   19.2, 1011.0,   21.9,    0.2,06,    5.3,   15.61,   15.4,    7.8,  70,SSE,갈매여,Galmaeyeo,958,2017,6
 17,    2.3,   16.1,    6.5,   13.58,   17.4,   17.2, 1006.7,   19.7,    0.9,07,    5.4,   15.79,   16.2,    7.8,  92,S,갈매여,Galmaeyeo,958,2017,6
 01,    1.4,   16.3,    5.5,   13.59,    7.2,   18.1, 1011.3,   21.5,    0.6,08,    5.0,   15.88,   15.9,    3.2,  88,SSW,갈매여,Galmaeyeo,958,2017,6
 23,    1.5,   16.8,    5.3,   13.69,   12.9,   18.9, 1008.9,   21.0,    0.4,09,    4.7,   16.23,   17.2,    7.5,  87,SSW,갈매여,Galmaeyeo,958,2017,6
 01,    1.4,   17.0,    5.2,   13.68,   11.1,   18.4, 1007.2,   21.4,    0.5,10,    4.8,   16.28,   17.0,    4.0,  93,SSW,갈매여,Galmaeyeo,958,2017,6
 21>,    1.7>,   16.9,    5.4>,   13.81>,    9.6>,   18.4, 1008.3,   19.6>,    0.3>,11,    4.6>,   16.41>,   16.9>,    3.7>,  76,NNW>,갈매여,Galmaeyeo,958,2017,6
 11,    0.6,   17.1,    7.2,   13.85,    7.4,   19.1, 1013.9,   21.4,    0.3,12,    5.9,   16.43,   17.3,    3.1,  78,SSW,갈매여,Galmaeyeo,958,2017,6
 02,    0.5,   17.3,    6.4,   13.84,    8.4,   18.8, 1014.8,   20.3,    0.2,13,    5.7,   16.39,   17.7,    3.6,  82,N,갈매여,Galmaeyeo,958,2017,6
 02,    0.4,   17.5,    6.5,   13.73,    6.1,   18.3, 1012.2,   19.7,    0.2,14,    5.5,   16.18,   17.1,    3.4,  88,NNW,갈매여,Galmaeyeo,958,2017,6
 22,    1.0,   17.6,    5.6,   13.72,    7.8,   19.6, 1009.8,   21.2,    0.3,15,    4.9,   15.97,   17.6,    4.0,  91,SSW,갈매여,Galmaeyeo,958,2017,6
 04>,    1.2>,   17.7,    5.4>,   13.80>,   10.0>,   20.4, 1010.1,   22.2>,    0.4>,16,    4.9>,   15.87>,   18.9>,    5.2>,  86,SW>,갈매여,Galmaeyeo,958,2017,6
 05,    0.9,   17.7,    5.2,   13.83,    6.4,   20.2, 1010.9,   22.6,    0.3,17,    4.7,   15.75,   19.0,    2.9,  88,S,갈매여,Galmaeyeo,958,2017,6
,,   17.5],,,,   20.4], 1010.9],,,18,,,,,  86],,갈매여,Galmaeyeo,958,2017,6
 06>,    0.3>,,    6.5>,   13.69>,    4.2>,,,   23.5>,    0.1>,19,    5.7>,   15.40>,   18.8>,    1.3>,,NW>,갈매여,Galmaeyeo,958,2017,6
 22>,    0.5>,   16.9),    6.3>,   13.74>,    9.0>,   21.8), 1005.2),   23.8>,    0.2>,20,    5.7>,   15.79>,   20.3>,    2.6>,  73),N>,갈매여,Galmaeyeo,958,2017,6
