wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
,,,,,,,,,,01,,,,,,,해수서,Haesuseo,959,2016,11
,,,,,,,,,,02,,,,,,,해수서,Haesuseo,959,2016,11
,,,,,,,,,,03,,,,,,,해수서,Haesuseo,959,2016,11
,,,,,    9.6,   15.5, 1018.1,   17.5,,04,,,   13.2,    4.6,  66,SW,해수서,Haesuseo,959,2016,11
,,,,,    9.9,   16.8, 1015.4,   19.3,,05,,,   15.3,    3.5,  80,SW,해수서,Haesuseo,959,2016,11
,,,,,   16.5,   16.4, 1021.9,   19.0,,06,,,   15.0,    6.1,  78,SE,해수서,Haesuseo,959,2016,11
,,,,,   16.6,   16.3, 1022.7,   18.0,,07,,,   15.3,    8.5,  72,SE,해수서,Haesuseo,959,2016,11
,,,,,   20.7>,   10.5], 1025.0],   17.1>,,08,,,    9.1>,   12.8>,,NNE>,해수서,Haesuseo,959,2016,11
,,,,,   20.0,    8.4, 1027.7,   10.3,,09,,,    6.1,    9.4,,NNE,해수서,Haesuseo,959,2016,11
,,,,,   13.1,   11.3, 1020.6,   12.8,,10,,,    9.5,    5.3,  65,ESE,해수서,Haesuseo,959,2016,11
,,,,,   15.2,   14.5, 1020.7,   16.7,,11,,,   11.9,    5.6,  59,NNW,해수서,Haesuseo,959,2016,11
,,,,,    9.3,   15.5, 1022.6,   18.1,,12,,,   14.0,    5.1,  74,SSE,해수서,Haesuseo,959,2016,11
,,,,,   12.8,   16.2, 1020.5,   17.8,,13,,,   15.3,    6.6,  84,SE,해수서,Haesuseo,959,2016,11
,,,,,   17.9,   16.2, 1015.2,   18.1,,14,,,   14.9,    8.3,  91,SE,해수서,Haesuseo,959,2016,11
,,,,,   19.6,   11.8, 1020.9,   15.8,,15,,,   10.1,   11.0,  58,NNE,해수서,Haesuseo,959,2016,11
,,,,,   12.3,   12.0, 1022.6,   15.7,,16,,,    9.6,    4.9,  53,NNE,해수서,Haesuseo,959,2016,11
,,,,,   10.5,   14.5, 1022.9,   16.5,,17,,,   12.6,    4.2,  51,ENE,해수서,Haesuseo,959,2016,11
,,,,,   12.7,   15.1, 1016.4,   16.2,,18,,,   14.5,    7.7,  85,ESE,해수서,Haesuseo,959,2016,11
,,,,,   11.0,   15.6, 1015.1,   17.3,,19,,,   14.7,    4.6,  95,W,해수서,Haesuseo,959,2016,11
,,,,,   10.6,   14.4, 1020.0,   16.3,,20,,,   12.7,    4.7,  76,NNE,해수서,Haesuseo,959,2016,11
,,,,,   12.2,   15.4, 1016.8,   17.2,,21,,,   13.8,    6.6,  81,ESE,해수서,Haesuseo,959,2016,11
,,,,,   19.7,    9.0, 1022.7,   14.3,,22,,,    6.4,   12.2,  67,N,해수서,Haesuseo,959,2016,11
,,,,,   20.7,    6.8, 1025.8,    8.3,,23,,,    6.0,   11.9,  58,N,해수서,Haesuseo,959,2016,11
,,,,,   19.3,    5.9, 1027.0,    7.5,,24,,,    4.0,    7.8,  62,N,해수서,Haesuseo,959,2016,11
,,,,,    8.9,    7.6, 1027.5,   10.3,,25,,,    5.6,    3.6,  58),NNE,해수서,Haesuseo,959,2016,11
,,,,    0.00,   13.0,    8.1, 1022.8,    9.3,,26,,    0.00,    6.4,    4.7,  70,NNE,해수서,Haesuseo,959,2016,11
,,,,,   14.3,   10.4, 1022.1,   12.5,,27,,,    8.4,    6.8,  62,N,해수서,Haesuseo,959,2016,11
,,,,,   16.5,    8.5, 1028.5,   11.5,,28,,,    7.5,    9.8,  57,N,해수서,Haesuseo,959,2016,11
,,,,,   15.8,    8.3, 1032.3,   10.4,,29,,,    6.4,    7.4,  50,NNE,해수서,Haesuseo,959,2016,11
,,,,,   10.5,   11.1, 1026.7,   12.7,,30,,,    9.0,    4.4,  66,NNW,해수서,Haesuseo,959,2016,11
,,,,,,   12.3, 1022.2,   14.7,,월,,,   10.6,    7.0,  69,,해수서,Haesuseo,959,2016,11
