wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
    1.2, 12,    1.8,   23.7,  75,    8.6,    8.01,   16.4,   25.6, 1004.3,    1.2,   28.5,    0.8,,01,    6.4,    8.17,   23.3,    9.7,  75,SSW,이덕서,Idukseo,963,2016,9
    1.2, 24,    2.4,   22.8,  87,    8.3,    7.96,   12.8,   22.0, 1009.0,    1.6,   26.0,    0.8,,02,    5.7,    8.11,   19.7,    5.7,  87,SSW,이덕서,Idukseo,963,2016,9
    1.4, 01,    2.7,   22.4,  92,    5.6,    7.96,   12.5,   23.7, 1009.8,    1.8,   24.8,    0.9,,03,    5.1,    8.11,   22.1,    4.2,  92,SSE,이덕서,Idukseo,963,2016,9
    0.8, 17,    1.2,   23.1,  89,    5.3,    7.96,   11.8,   23.9, 1011.1,    0.8,   24.8,    0.5,,04,    4.8,    8.11,   22.4,    7.0,  89,NNE,이덕서,Idukseo,963,2016,9
    0.8, 12,    1.1,   24.1,  92,    5.2,    8.01,   10.4,   23.7, 1010.5,    0.7,   24.5,    0.5,,05,    4.9,    8.18,   22.8,    5.0,  92,N,이덕서,Idukseo,963,2016,9
    0.4, 01,    0.6,   24.5,  87,    5.4,    8.04,    4.5,   24.8, 1008.9,    0.4,   27.6,    0.2,,06,    4.9,    8.15,   22.5,    1.3,  87,SSW,이덕서,Idukseo,963,2016,9
    0.3, 02,    0.4,   24.0,  81,    5.9,    8.05,    8.3,   24.7, 1006.0,    0.2,   27.1,    0.2,,07,    5.1,    8.17,   23.4,    2.5,  81,NNE,이덕서,Idukseo,963,2016,9
    0.6, 22,    0.9,   24.4,  80,    5.2,    8.07,   11.0,   22.9, 1007.4,    0.6,   25.0,    0.4,,08,    4.9,    8.18,   19.8,    3.3,  80,NW,이덕서,Idukseo,963,2016,9
    1.6, 21,    2.8,   25.2,  84,    9.0,    8.10,    6.3,   23.4, 1010.6,    1.9,   25.0,    1.1,,09,    7.3,    8.18,   20.9,    2.8,  84,NNE,이덕서,Idukseo,963,2016,9
    2.1, 11,    2.7,   25.0,  82,    8.7,    8.06,    9.1,   23.9, 1013.3,    1.9,   25.4,    1.5,,10,    7.6,    8.14,   22.2,    4.4,  82,N,이덕서,Idukseo,963,2016,9
    1.6, 01,    1.9,   25.0,  81,    7.4,    8.03,    8.0,   23.8, 1015.7,    1.3,   25.1,    1.1,,11,    6.2,    8.10,   21.6,    4.8,  81,NNE,이덕서,Idukseo,963,2016,9
    1.8, 15,    2.4,   24.8,  86,    6.8,    8.01,   12.7,   22.5, 1016.9,    1.6,   24.3,    1.2,,12,    5.6,    8.13,   20.7,    7.3,  86,ENE,이덕서,Idukseo,963,2016,9
    1.6, 01,    2.3,   24.8,  79,    6.0,    8.00,   10.9,   22.9, 1018.7,    1.5,   24.5,    1.1,,13,    5.5,    8.11,   21.1,    6.4,  79,NNE,이덕서,Idukseo,963,2016,9
    0.9, 01,    1.1,   24.8,  83,    5.3,    8.05,    7.7,   23.0, 1018.4,    0.7,   24.9,    0.5,,14,    5.0,    8.15,   20.9,    3.8,  83,N,이덕서,Idukseo,963,2016,9
    0.6, 07,    0.7,   24.3,  84,    6.2,    8.04,    4.0,   23.2, 1016.9,    0.5,   25.3,    0.4,,15,    5.4,    8.16,   21.0,    1.7,  84,NW,이덕서,Idukseo,963,2016,9
    0.5, 16,    0.6,   23.4,  85,    6.8,    8.04,    5.3,   23.4, 1015.3,    0.4,   25.6,    0.3,,16,    5.6,    8.19,   21.6,    1.5,  85,NNE,이덕서,Idukseo,963,2016,9
    1.7, 15,    3.2,   23.5,  92,    6.4,    8.07,   16.2,   21.6, 1011.1,    2.1,   23.5,    1.1,,17,    5.1,    8.24,   19.1,    9.1,  92,NE,이덕서,Idukseo,963,2016,9
    2.7, 14,    3.4,   23.8,  85,    6.2,    8.05,   17.8,   22.0, 1011.0,    2.3,   23.8,    1.8,,18,    5.6,    8.22,   20.5,   12.6,  85,NNE,이덕서,Idukseo,963,2016,9
    3.7, 24,    5.3,   23.7,  77,    6.7,    8.00,   21.0,   21.8, 1011.5,    3.6,   28.0,    2.5,,19,    5.9,    8.19,   14.3,   14.3,  77,ENE,이덕서,Idukseo,963,2016,9
,,,,  58,,,   24.6,   21.5, 1014.8,,   38.8,,,20,,,   14.2,   16.3,  58,NNE,이덕서,Idukseo,963,2016,9
,,,,  62,,,   14.1,   22.2, 1020.1,,   30.4,,,21,,,   12.3,    9.5,  62,NE,이덕서,Idukseo,963,2016,9
,,,,  78,,,   12.0,   21.2, 1018.1,,   33.6,,,22,,,    8.5,    7.1,  78,N,이덕서,Idukseo,963,2016,9
,,,,  70,,,    8.3,   21.5, 1017.8,,   28.9,,,23,,,   14.2,    4.8,  70,NNE,이덕서,Idukseo,963,2016,9
