wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 03,    0.4,   23.9,    5.8,    8.64,   10.5,   22.5, 1013.0,   24.5,    0.1,01,    4.5,   10.14,   20.1,    4.9,  67,NNE,서수도,Seosudo,955,2017,9
 05,    0.4,   23.9,    5.5,    8.66,    7.3,   23.0, 1013.1,   24.9,    0.1,02,    4.2,   10.65,   20.6,    3.1,  70,N,서수도,Seosudo,955,2017,9
 11,    0.3,   24.0,    5.0,    8.67,    4.9,   23.3, 1015.1,   25.4,    0.1,03,    4.1,   11.16,   20.8,    2.3,  76,ENE,서수도,Seosudo,955,2017,9
,,   24.1],,,    6.0,   24.1, 1015.4,   26.5,,04,,,   21.8,    2.2,  64,ENE,서수도,Seosudo,955,2017,9
 08>,    0.4>,   24.1],    5.5,    8.60>,    8.3,   22.5, 1011.9,   24.9,    0.1>,05,    4.2,   11.99>,   21.8,    3.4,  72,ENE,서수도,Seosudo,955,2017,9
 09,    0.3,   24.0,    5.1,    8.68,    6.2,   21.7, 1009.0,   23.1,    0.1,06,    4.2,   12.34,   20.7,    2.7,  76,WNW,서수도,Seosudo,955,2017,9
 10,    0.5,   23.9,    5.5,    8.73,    6.3,   22.4, 1008.4,   24.1,    0.1,07,    4.2,   12.44,   20.5,    2.9,  83,WNW,서수도,Seosudo,955,2017,9
 14,    0.5,   24.0,    5.2,    8.82,    5.1,   23.1, 1011.9,   24.7,    0.1,08,    4.1,   12.73,   21.8,    2.7,  83,NW,서수도,Seosudo,955,2017,9
,,,,,    5.3,   23.0, 1013.6,   24.2,,09,,,   21.7,    2.4,  85,W,서수도,Seosudo,955,2017,9
 10,    0.4,   23.9,    5.2,    8.79,    6.1,   23.2, 1013.6,   24.6,    0.1,10,    4.1,   12.53,   21.4,    2.4,  85,NNE,서수도,Seosudo,955,2017,9
 11>,    0.5>,   23.8,    5.0,    8.63,   11.8,   21.7, 1008.0,   24.7,    0.1,11,    4.2,   12.19,   18.9,    6.1,  77,N,서수도,Seosudo,955,2017,9
 23>,    0.8>,   23.8,    4.8,    8.70,   10.8,   23.2, 1014.3,   25.9,    0.2,12,    4.0,   11.95,   21.8,    5.7,  63,WNW,서수도,Seosudo,955,2017,9
 01,    0.8,   23.7,    4.3,    8.71,   11.2,   22.1, 1019.1,   24.3,    0.3,13,    3.9,   11.55,   20.6,    5.7,  59,NW,서수도,Seosudo,955,2017,9
 01,    0.5,   23.6,    5.8,    8.67,    8.9,   22.0, 1019.6,   25.3,    0.1,14,    4.3,   11.18,   18.7,    4.2,  58,N,서수도,Seosudo,955,2017,9
 23,    0.5,   23.6,    5.7,    8.34,   12.9,   23.0, 1018.8,   26.5,    0.1,15,    4.3,   10.56,   20.0,    6.2,  56,NE,서수도,Seosudo,955,2017,9
 11>,    1.5>,   23.5,    5.6,    8.52,   12.3,   22.3, 1014.2,   25.8,    0.1>,16,    4.4,   11.36,   18.7,    7.0,  56,ENE,서수도,Seosudo,955,2017,9
 06>,    0.3>,   23.4),    5.4,    8.51,   12.8,   22.4, 1008.0,   25.7,    0.1,17,    4.1,   11.45,   19.5,    7.0,  61,N,서수도,Seosudo,955,2017,9
 20>,    0.4>,   23.4,    4.6>,    8.74>,    7.5,   21.7, 1008.9,   23.3,    0.1,18,    4.0>,   11.83>,   20.1,    3.8,  72,S,서수도,Seosudo,955,2017,9
 19,    0.9,   23.3,    4.8>,    8.84,   25.5,   22.4, 1008.8,   24.3,    0.2>,19,    4.0>,   12.49,   18.0,    8.3,  85,W,서수도,Seosudo,955,2017,9
,,,,,   14.2>,   20.3, 1013.1,   23.3>,,20,,,   18.7>,    6.8>,  53,NW>,서수도,Seosudo,955,2017,9
,,,,,    6.4,   20.4, 1014.5,   22.5,,21,,,   17.4,    2.4,  65,NW,서수도,Seosudo,955,2017,9
,,,,,    7.2,   20.6, 1013.4,   22.4,,22,,,   18.8,    3.6,  72,S,서수도,Seosudo,955,2017,9
,,,,,   10.8>,   21.6], 1015.8],   23.1>,,23,,,   20.6>,    5.7>,  85],SE>,서수도,Seosudo,955,2017,9
,,,,,   13.8,   22.1, 1015.4,   23.3,,24,,,   21.0,    3.9,  85,N,서수도,Seosudo,955,2017,9
,,,,,    8.7,   22.4, 1015.1,   25.3,,25,,,   19.3,    3.6,  73,NNE,서수도,Seosudo,955,2017,9
,,,,,    8.5,   22.9, 1012.1,   25.3,,26,,,   21.0,    3.8,  77,ENE,서수도,Seosudo,955,2017,9
 17,    0.4,   23.0,    5.4,    8.51,   11.8,   21.6, 1008.2,   23.7,    0.1,27,    4.1,   10.66,   19.9,    5.2,  70,NW,서수도,Seosudo,955,2017,9
 17,    1.0,   22.8,    4.8,    8.60,   14.7,   19.5, 1011.4,   21.2,    0.3,28,    4.2,   10.42,   17.4,    8.0,  53,WNW,서수도,Seosudo,955,2017,9
 01,    0.8,   22.4,    5.0,    8.59,   13.0,   18.6, 1018.1,   20.3,    0.2,29,    4.3,   10.17,   16.9,    5.9,  45,WNW,서수도,Seosudo,955,2017,9
 07,    0.5,   22.3,    5.6,    8.65,   11.5,   20.5, 1021.5,   22.3,    0.2,30,    4.5,   10.18,   18.8,    6.4,  76,SSE,서수도,Seosudo,955,2017,9
,,,,,,   22.0, 1013.4,   24.2,,월,,,   19.9,    4.6,  70,,서수도,Seosudo,955,2017,9
