wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 03,    1.7,   17.1,    7.1,   12.97,   16.4,    6.6, 1028.1,    8.8,    0.9,01,    6.1,   14.94,    5.0,    8.7,  56,N,십이동파,Sibidongpa,957,2016,11
 24>,    1.2>,   16.7],    5.7>,   12.97>,   10.9>,    8.7], 1024.9],   12.4>,    0.3>,02,    4.8>,   15.10>,    4.4>,    4.1>,  62],NNE>,십이동파,Sibidongpa,957,2016,11
 03,    1.5,   16.6,    5.8,   13.04,   18.3,   12.8, 1020.1,   14.4,    0.7,03,    4.9,   14.94,    9.7,    5.7,  57,NW,십이동파,Sibidongpa,957,2016,11
 15,    2.0,   16.5,    5.4,   13.16,   14.4,   14.2, 1014.4,   16.2,    0.8,04,    4.8,   15.00,   12.6,    8.5,  75,SW,십이동파,Sibidongpa,957,2016,11
 03,    1.8,   16.5,    5.5,   13.19,   12.7,   15.6, 1012.2,   17.5,    0.8,05,    5.1,   14.76,   14.4,    6.2,  95,SSW,십이동파,Sibidongpa,957,2016,11
 04,    1.0,   16.6,    6.3,   13.31,   11.2,   15.2, 1020.0,   18.1,    0.4,06,    5.2,   14.78,   13.3,    4.1,  84,SE,십이동파,Sibidongpa,957,2016,11
 24,    1.2,   16.6,    5.1,   13.40,   15.6,   13.6, 1020.8,   16.8,    0.2,07,    4.9,   14.55,   10.6,    5.7,  81,NNW,십이동파,Sibidongpa,957,2016,11
 12>,    2.9>,   16.2],    7.6>,   13.10>,   19.4>,    7.4], 1023.3],   11.7>,    1.5>,08,    6.6>,   14.01>,    5.8>,   11.7>,  63],NNE>,십이동파,Sibidongpa,957,2016,11
 01>,    2.5>,   15.8],    7.1>,   13.21>,   17.3>,    6.1], 1026.5],    8.4>,    0.8>,09,    6.4>,   14.44>,    3.6>,    4.0>,  57],NNE>,십이동파,Sibidongpa,957,2016,11
 01,    0.4,   15.5,    5.6,   13.31,    8.6,    8.8, 1018.4,   11.3,    0.2,10,    5.0,   14.49,    6.6,    3.8,  72,ESE,십이동파,Sibidongpa,957,2016,11
,,,,,,,,,,11,,,,    6.5,  56,,십이동파,Sibidongpa,957,2016,11
,,,,,   12.9>,,,   16.1>,,12,,,   10.5>,    7.2,  73,SSE>,십이동파,Sibidongpa,957,2016,11
,,,,,,,,,,13,,,,    5.5,  84,,십이동파,Sibidongpa,957,2016,11
 24,    1.7,   15.4,    5.1,   11.35,   13.3,   14.9, 1013.9,   17.5,    0.4,14,    4.5,   14.57,   13.5,    5.1,  86,NNE,십이동파,Sibidongpa,957,2016,11
 10,    3.3,   15.2,    7.2,   11.20,   17.2,    9.5, 1019.2,   14.4,    1.2,15,    5.8,   14.50,    8.2,    9.2,  54,N,십이동파,Sibidongpa,957,2016,11
 01,    1.2,   15.0,    6.3,   11.43,    5.9,    9.6, 1021.3,   11.8,    0.4,16,    5.0,   14.82,    7.2,    1.1,  57,NNE,십이동파,Sibidongpa,957,2016,11
 01,    0.4,   14.9,    5.7,   11.48,   11.2,   12.3, 1021.6,   15.3,    0.1,17,    5.0,   14.78,    9.8,    2.4,  57,E,십이동파,Sibidongpa,957,2016,11
 02,    0.3,   14.7,    5.3,   11.44,   13.9,   11.8, 1015.3,   13.9,    0.1,18,    4.9,   14.46,   10.5,    5.7,  79,ENE,십이동파,Sibidongpa,957,2016,11
 22,    0.8,   14.7,    5.0,   11.35,   11.4,   13.2, 1012.3,   15.2,    0.3,19,    4.7,   14.09,   11.1,    3.1,  99,SE,십이동파,Sibidongpa,957,2016,11
 11,    2.1,   14.7,    7.1,   11.32,   12.4,   11.5, 1018.7,   13.9,    0.8,20,    5.6,   13.63,   10.2,    4.5,  66,NNE,십이동파,Sibidongpa,957,2016,11
 01,    0.8,   14.5,    5.5,   11.41,   11.3,   11.9, 1015.8,   13.8,    0.3,21,    5.1,   13.21,   10.8,    3.5,  71,NNE,십이동파,Sibidongpa,957,2016,11
 12,    3.9,   14.3,    7.8,   11.05,   18.7,    5.5, 1021.0,   11.8,    2.0,22,    6.6,   12.40,    3.1,   12.0,  64,NNE,십이동파,Sibidongpa,957,2016,11
