wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
,,,   23.4,  78,    6.7,,    5.4,   21.5, 1018.0,,   22.7,,,01,    6.3,,   20.2,    1.4,  78,NE,서수도,Seosudo,955,2016,10
,,,   23.4,  83,    7.0,,   17.6,   20.9, 1013.3,,   25.0,,,02,    6.4,,   17.9,    6.9,  83,SE,서수도,Seosudo,955,2016,10
,,,   23.3,  84,    6.9,,   23.4,   21.7, 1010.5,,   24.8,,,03,    6.4,,   19.8,    5.7,  84,SSE,서수도,Seosudo,955,2016,10
,,,   23.3,  67,    7.3,,   12.2,   22.5, 1014.7,,   27.0,,,04,    6.6,,   19.2,    5.2,  67,ENE,서수도,Seosudo,955,2016,10
,,,   23.3,  70,    7.1,,   12.4,   21.0, 1011.5,,   23.3,,,05,    6.5,,   18.7,    7.7,  70,W,서수도,Seosudo,955,2016,10
,,,   23.0,  58,    6.7,,   13.0,   18.3, 1021.8,,   21.4,,,06,    6.3,,   15.9,    6.4,  58,WNW,서수도,Seosudo,955,2016,10
,,,   22.6,  73,    6.8>,,   13.7,   19.9, 1019.4,,   23.2,,,07,    5.5>,,   17.3,    6.7,  73,SE,서수도,Seosudo,955,2016,10
    0.8, 24,    1.7,   22.3,  65,    5.2,    8.61,   21.9,   17.5, 1013.1,    1.1,   20.2,    0.5,,08,    4.2,   10.84,   12.2,    9.2,  65,WNW,서수도,Seosudo,955,2016,10
    0.7, 01,    1.8,   21.5,  48,    4.7,    8.46,   22.0,   12.3, 1020.8,    1.2,   15.3,    0.5,,09,    4.2,   10.66,    9.8,    9.1,  48,WNW,서수도,Seosudo,955,2016,10
    0.3, 01,    0.6,   21.0,  44,    4.5,    8.72,   12.9,   14.6, 1021.6,    0.4,   18.0,    0.1,,10,    4.2,   10.54,   11.1,    4.5,  44,NNW,서수도,Seosudo,955,2016,10
    0.2, 21,    0.5,   21.1,  64,    5.2,    8.63,    8.4,   17.6, 1020.8,    0.3,   19.6,    0.1,,11,    4.2,   10.49,   15.4,    3.5,  64,NW,서수도,Seosudo,955,2016,10
