wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 01>,    1.1>,    5.1,    5.2>,   13.65>,   17.1>,    7.0, 1015.5,   10.4>,    0.4>,01,    4.7>,   16.64>,    3.6>,    4.0>,  56,N>,갈매여,Galmaeyeo,958,2017,3
 12,    6.4,    5.2,    7.6,   13.40,   17.3,    2.7, 1017.8,    4.9,    2.6,02,    6.1,   16.05,    1.2,   11.1,  62,NNW,갈매여,Galmaeyeo,958,2017,3
 01,    1.9,    5.1,    6.8,   13.78,    7.6,    4.4, 1020.8,    6.2,    0.7,03,    5.3,   16.44,    2.3,    3.2,  69,SSE,갈매여,Galmaeyeo,958,2017,3
 03,    1.2,    5.2,    5.3,   13.78,    3.8,    5.1, 1019.1,    7.4,    0.5,04,    4.9,   16.32,    3.2,    1.5,  70,ESE,갈매여,Galmaeyeo,958,2017,3
 24,    1.8,    5.3,    6.2,   13.71,   13.1,    5.0, 1016.9,    6.8,    0.2,05,    5.1,   15.94,    3.6,    3.1,  82,NNW,갈매여,Galmaeyeo,958,2017,3
 16,    3.1,    5.3,    6.5,   13.51,   15.8,    2.3, 1018.3,    4.6,    1.5,06,    5.6,   15.35,    1.5,    9.7,  50,N,갈매여,Galmaeyeo,958,2017,3
 24,    2.6,    5.2,    5.3,   13.59,   13.8,    1.0, 1018.2,    4.0,    1.1,07,    5.1,   15.42,   -1.4,    8.5,  59,NNW,갈매여,Galmaeyeo,958,2017,3
 23,    2.4,    5.1,    6.5,   13.51,   14.2,    3.1, 1016.4,    5.4,    1.2,08,    5.4,   15.37,   -0.6,    8.0,  59,WNW,갈매여,Galmaeyeo,958,2017,3
 01,    2.4,    5.1,    6.5,   13.53,   12.4,    5.4, 1015.3,    7.4,    1.0,09,    5.6,   15.75,    3.2,    6.6,  71,NW,갈매여,Galmaeyeo,958,2017,3
 12,    1.5,    5.3,    5.5,   13.62,    4.1,    5.5, 1020.2,    8.7,    0.6,10,    4.9,   16.14,    3.7,    2.1,  66,ESE,갈매여,Galmaeyeo,958,2017,3
 04>,    0.5>,    5.4,    6.6>,   13.61>,    4.9>,    6.4, 1023.4,    9.3>,    0.1>,11,    5.1>,   16.38>,    3.4>,    2.0>,  53,ESE>,갈매여,Galmaeyeo,958,2017,3
 01,    0.2,    5.5,    7.5,   13.66,    6.1,    6.7, 1021.3,   10.6,    0.1,12,    5.6,   16.41,    4.4,    1.6,  67,N,갈매여,Galmaeyeo,958,2017,3
 19,    2.6,    5.7,    6.4,   13.56,   13.3,    4.9], 1019.0,    6.3,    1.0,13,    5.1,   16.37,    4.2,    8.8,  70,N,갈매여,Galmaeyeo,958,2017,3
 22,    3.2,    5.7,    6.9,   13.59,   15.0,    5.0), 1020.4,    6.0,    1.5,14,    5.6,   16.28,    4.4,    9.8,  60,N,갈매여,Galmaeyeo,958,2017,3
 01,    2.7,    5.8,    6.5,   13.71,   12.0,    4.8, 1023.8,    5.7,    0.9,15,    5.2,   16.39,    4.2,    5.7,  59,N,갈매여,Galmaeyeo,958,2017,3
 01,    1.2,    5.9,    5.4,   13.75,    6.1,    5.1, 1022.5,    7.4,    0.4,16,    4.7,   16.35,    3.4,    2.4,  67,NNW,갈매여,Galmaeyeo,958,2017,3
 01,    0.2,    5.9,    6.5,   13.76,    7.4,    5.7, 1024.2,    7.0,    0.1,17,    5.4,   16.19,    4.4,    2.6,  80,NW,갈매여,Galmaeyeo,958,2017,3
 01,    0.3,    6.0,    6.5,   13.76,    6.6,    6.4, 1024.8,    8.2,    0.1,18,    5.5,   15.99,    4.9,    2.9,  74,N,갈매여,Galmaeyeo,958,2017,3
 10,    0.3,    6.1,    7.0,   13.77,    6.2,    6.7, 1025.5,    8.6,    0.1,19,    5.9,   15.75,    5.6,    2.7,  76,SSW,갈매여,Galmaeyeo,958,2017,3
 04,    0.2,    6.2,    6.8,   13.81,   10.9,    7.8, 1019.2,   12.6,    0.1,20,    5.8,   15.47,    5.7,    3.9,  70,N,갈매여,Galmaeyeo,958,2017,3
 18,    3.6,    6.2,    6.6,   13.64,   14.7,    5.9, 1018.4,    8.6,    1.3,21,    5.5,   14.95,    3.9,    9.2,  66,NNW,갈매여,Galmaeyeo,958,2017,3
 01,    2.1,    6.2,    5.7,   13.71,   11.2,    5.8], 1021.8,    6.8,    0.7,22,    5.1,   14.90,    4.9,    3.2,  76,NNW,갈매여,Galmaeyeo,958,2017,3
 01,    0.7,    6.1,    5.7,   13.70,    7.8,    6.4, 1021.4,    7.4,    0.2,23,    4.9,   15.06,    5.7,    4.0,  77,NNW,갈매여,Galmaeyeo,958,2017,3
 06,    1.2,    6.2,    5.1,   13.66,    5.1,    6.3], 1021.2,    7.3,    0.5,24,    4.7,   15.35,    5.5,    2.2,  78,NNE,갈매여,Galmaeyeo,958,2017,3
 03,    0.5,    6.4,    6.3,   13.66,    5.8,    6.7, 1020.1,   10.0,    0.1,25,    5.1,   15.78,    5.6,    2.3,  69,NNW,갈매여,Galmaeyeo,958,2017,3
 23,    0.8,    6.6,    6.6,   13.61,    7.8,    6.3, 1019.5,    7.2,    0.2>,26,    5.4,   16.12,    5.6,    3.4,  73,NW,갈매여,Galmaeyeo,958,2017,3
 24,    1.6,    6.8,    5.2,   13.56,   11.1,    6.5, 1021.7,    8.0,    0.5,27,    4.7,   16.30,    4.4,    3.6,  86,NW,갈매여,Galmaeyeo,958,2017,3
 01>,    1.5>,    6.9,    5.0>,   13.55>,    7.5>,    6.8, 1023.9,    9.3>,    0.4>,28,    4.6>,   16.52>,    5.0>,    3.4>,  80,WNW>,갈매여,Galmaeyeo,958,2017,3
 21,    1.1,    7.1,    7.4,   13.68,    9.9,    6.6, 1022.1,    8.0,    0.3,29,    5.3,   16.66,    5.1,    5.5,  80,ENE,갈매여,Galmaeyeo,958,2017,3
 22,    1.5,    7.2,    6.0,   13.73,    9.4,    7.0, 1021.8,    8.2,    0.3,30,    5.1,   16.73,    5.8,    5.1,  77,N,갈매여,Galmaeyeo,958,2017,3
 01,    0.6,    7.4,    5.9,   13.81,    8.3,    7.3, 1018.6,    9.0,    0.2,31,    4.9,   16.95,    6.3,    2.6,  88,S,갈매여,Galmaeyeo,958,2017,3
,    1.6,    5.9,    6.2,   13.66,,    5.6, 1020.4,    7.7,    0.6,월,    5.2,   16.01,    4.0,    4.7,  70,,갈매여,Galmaeyeo,958,2017,3
