wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 11>,    1.3>,   27.6],    6.1>,   15.44>,   16.1>,   28.5], 1025.5],   30.4>,    0.7>,01,    5.8>,   16.36>,   27.3>,   10.3>,  83],ESE>,지귀도,Jigwido,960,2018,8
 23,    1.1,   26.8,    6.2,   15.41,   16.0,   28.8, 1025.5,   31.3,    0.4,02,    5.6,   16.32,   27.6,    9.2,  85,E,지귀도,Jigwido,960,2018,8
 08,    1.3,   26.2,    6.8,   15.42,   19.5,   28.2, 1025.5,   30.4,    0.6,03,    6.4,   16.20,   26.6,    8.8,  91,SSE,지귀도,Jigwido,960,2018,8
 01,    0.4,   20.3,    6.8,   15.35,    5.3,   28.4, 1025.5,   31.5,,04,    6.4,   16.03,   26.9,    2.4,  93,SSW,지귀도,Jigwido,960,2018,8
 01,    0.2,   22.8,    6.4,   15.39,    8.0,   27.9, 1025.5,   30.8,,05,    6.1,   15.89,   26.0,    2.4,  90,W,지귀도,Jigwido,960,2018,8
,,   25.2,    7.4,   15.42,    5.2,   28.3, 1025.5,   32.1,    0.0,06,    6.1,   15.95,   25.5,    1.8,  89,WSW,지귀도,Jigwido,960,2018,8
 21>,    1.1>,   26.9,    7.4>,   15.48>,   12.2>,   28.4, 1025.5,   30.2>,    0.3>,07,    6.3>,   16.20>,   27.3>,    6.2>,  85,ESE>,지귀도,Jigwido,960,2018,8
 06,    1.3,   27.4,    6.5,   15.43,   12.0,   28.2, 1025.5,   30.3,    0.6,08,    6.0,   16.37,   26.7,    6.1,  84,SE,지귀도,Jigwido,960,2018,8
 11,    0.5,   27.8,    6.4,   15.42,    6.4,   28.6, 1025.5,   31.4,    0.2,09,    5.9,   16.63,   26.7,    2.0,  86,SE,지귀도,Jigwido,960,2018,8
 18,    0.4,   24.5,    7.4,   15.40,    9.3,   28.6, 1025.5,   31.9,    0.2,10,    6.4,   16.86,   26.6,    3.1,  85,SSE,지귀도,Jigwido,960,2018,8
 20,    1.3,   24.1],    7.4,   15.43,   13.6,   28.5, 1025.5,   30.3,    0.4,11,    6.0,   16.95,   27.1,    8.5,  84,ESE,지귀도,Jigwido,960,2018,8
 09>,    1.4>,   24.9],    6.8>,   15.36>,   14.3>,   28.8, 1025.5,   30.4>,    0.6>,12,    6.2>,   16.79>,   26.9>,    8.1>,  88,SSE>,지귀도,Jigwido,960,2018,8
 09,    1.2,   24.5,    7.1,   15.41,   13.1,   28.8, 1025.5,   30.6,    0.6,13,    6.6,   16.87,   27.4,    6.8,  87,SE,지귀도,Jigwido,960,2018,8
 06,    0.7,   21.4,    8.0,   15.41,    7.6,   29.1, 1025.5,   31.1,    0.4,14,    7.2,   16.65,   27.7,    4.2,  79,E,지귀도,Jigwido,960,2018,8
 09,    0.7,   22.9,    8.4,   15.41,   13.4,   28.8, 1025.5,   30.6,    0.4,15,    6.7,   16.61,   26.7,    6.5,  83,SSE,지귀도,Jigwido,960,2018,8
 24,    3.2,   26.3,    8.2,   15.46,   22.4,   28.4, 1025.5,   30.1,    1.2,16,    6.8,   16.45,   25.6,   12.7,  87,SE,지귀도,Jigwido,960,2018,8
 11>,    4.1>,   28.0,    7.2>,   15.53>,   25.6>,   27.1, 1025.5,   28.7>,    2.0>,17,    6.8>,   16.36>,   25.7>,   15.9>,  77,ESE>,지귀도,Jigwido,960,2018,8
 01>,    2.3>,   27.4,    7.2>,   15.45>,   15.6>,   26.1, 1025.5,   28.4>,    0.9>,18,    6.6>,   16.03>,   25.1>,    8.6>,  74,ESE>,지귀도,Jigwido,960,2018,8
 01,    0.9,   25.9,    8.0,   15.43,   10.0,   26.4, 1025.5,   29.2,    0.4,19,    6.9,   15.79,   24.8,    4.4,  80,ESE,지귀도,Jigwido,960,2018,8
 01,    0.5,   24.3,    8.8,   15.41,    8.3,   27.8, 1025.5,   30.7,    0.3,20,    7.8,   15.85,   26.4,    3.3,  78,S,지귀도,Jigwido,960,2018,8
 21,    1.6,   24.4,   14.0,   15.42,   11.5,   27.5, 1025.5,   30.6,    0.5,21,   10.4,   15.97,   24.8,    4.2,  74,E,지귀도,Jigwido,960,2018,8
 21>,    7.0>,   25.6),   13.5>,   15.49>,   35.1,   27.9, 1025.5),   30.8,    2.6>,22,    9.7>,   16.28>,   24.5,   16.5,  79,ESE,지귀도,Jigwido,960,2018,8
,,,,,   38.6,   24.5,,   28.6,,23,,,   22.9,   21.0,  94,SSE,지귀도,Jigwido,960,2018,8
,,,,,   25.6,   24.6,,   27.9,,24,,,   22.4,    8.6,,WNW,지귀도,Jigwido,960,2018,8
,,,,,    8.7,   24.9,,   27.7,,25,,,   22.2,    3.7,,ESE,지귀도,Jigwido,960,2018,8
,,,,,    5.5,   25.9,,   28.8,,26,,,   24.9,    2.3,,S,지귀도,Jigwido,960,2018,8
,,,,,    5.8,   26.1,,   29.5,,27,,,   24.4,    1.9,,WSW,지귀도,Jigwido,960,2018,8
,,,,,    4.2,   26.8,,   30.3,,28,,,   24.8,    1.8,,SW,지귀도,Jigwido,960,2018,8
,,,,,    7.2,   26.4,,   29.0,,29,,,   24.9,    2.0,,SSE,지귀도,Jigwido,960,2018,8
,,,,,    5.4,   26.2,,   29.0,,30,,,   24.5,    3.2,,WNW,지귀도,Jigwido,960,2018,8
,,,,,    7.0,   25.8, 1012.1,   28.8,,31,,,   23.6,    4.4,,W,지귀도,Jigwido,960,2018,8
,,,,,,   27.4,,   30.0,,월,,,   25.6,    6.5,,,지귀도,Jigwido,960,2018,8
