wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 02,    0.5,   16.7,    8.1,   15.24,   13.3,    7.5, 1026.3,    9.7,    0.2,01,    6.8,   16.42,    5.6,    4.6,  56,NE,지귀도,Jigwido,960,2017,2
 16,    0.5,   16.9,    7.0,   15.27,   11.6,    9.6, 1028.5,   12.9,    0.2,02,    6.3,   16.34,    7.0,    3.7,  48,NE,지귀도,Jigwido,960,2017,2
 03,    0.3,   16.9,    7.5,   15.31,    7.3,   11.2, 1025.9,   13.8,    0.2,03,    6.8,   16.17,    8.3,    3.0,  41,NE,지귀도,Jigwido,960,2017,2
 22>,    0.4>,   16.8,    7.5,   15.32,   11.3,   11.9, 1019.6,   14.1,    0.1,04,    6.6,   15.96,    9.6,    2.8,  73,NW,지귀도,Jigwido,960,2017,2
 19,    0.7,   16.7],    7.2,   15.25,   22.8,   10.5, 1014.3,   14.3,    0.2,05,    6.1,   15.81,    7.6,    9.1,  66,NW,지귀도,Jigwido,960,2017,2
 10,    0.6,   16.6,    7.3,   15.31,   23.1,    7.5, 1020.1,   11.0,    0.2,06,    6.4,   15.86,    4.9,    8.8,  47,NE,지귀도,Jigwido,960,2017,2
 17,    0.5,   16.6,    7.6,   15.40,    9.2,    9.4, 1023.0,   12.2,    0.2,07,    6.6,   16.20,    6.8,    4.1,  49,WNW,지귀도,Jigwido,960,2017,2
 11,    0.6,   16.5,    8.1,   15.37,   20.0,    8.4, 1018.2,   11.1,    0.2,08,    7.3,   16.33,    4.1,    4.0,  62,NE,지귀도,Jigwido,960,2017,2
 11,    0.6,   16.5,    7.5,   15.25,   19.9,    3.3, 1016.8,    6.4,    0.2,09,    6.7,   16.45,   -0.7,    7.0,  59,NW,지귀도,Jigwido,960,2017,2
 13,    0.7,   16.9,    8.3,   15.23,   21.1,    1.7, 1019.7,    4.4,    0.3,10,    7.1,   16.54,   -1.6,    9.5,  68,NW,지귀도,Jigwido,960,2017,2
 01,    0.6,   16.9),    7.9,   15.28,   20.9>,    3.6, 1025.5,    6.0,    0.3,11,    6.9,   16.69,    0.0,    5.8,  56,NW>,지귀도,Jigwido,960,2017,2
 16,    0.5,,    8.9,   15.33,,    5.8, 1028.9,    8.8,    0.2,12,    7.1,   16.76,    3.2,    4.5,  46,,지귀도,Jigwido,960,2017,2
 01,    0.4,   16.8,    8.0,   15.35,   14.6,    8.4, 1031.4,   11.8,    0.2,13,    6.8,   16.72,    4.3,    5.4,  43,NW,지귀도,Jigwido,960,2017,2
 03,    0.3,   16.6,    7.2,   15.32,   15.6,    9.8, 1032.0,   11.7,    0.1,14,    6.4,   16.57,    7.6,    5.4,  46,NNW,지귀도,Jigwido,960,2017,2
