wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 07,    0.3,   10.5,    5.0,    8.61,    5.9,   10.2, 1016.9,   12.6,    0.1,01,    4.2,   12.35,    7.9,    2.6,  96,W,서수도,Seosudo,955,2017,5
 14,    0.4,   10.7,    5.5,    8.67,    6.1,   13.5, 1022.1,   17.3,    0.1>,02,    4.2,   12.02,   10.2,    3.0,  73,SE,서수도,Seosudo,955,2017,5
 05,    0.3,   10.9,    5.1,    8.51,    5.8,   13.6, 1021.5,   18.3,    0.1,03,    4.2,   11.35,   11.7,    2.6,  75,NW,서수도,Seosudo,955,2017,5
 15,    0.5,   11.3,    5.4,    8.43,    8.3,   14.4, 1016.9,   17.2,    0.1,04,    4.3,   10.83,   11.7,    2.9,  74,WNW,서수도,Seosudo,955,2017,5
 24,    0.7,   11.5,    6.1,    8.42,   15.9,   14.4, 1014.7,   17.1,    0.1,05,    4.3,   10.70,   12.5,    4.1,  79,NW,서수도,Seosudo,955,2017,5
 17,    0.9,   11.9,    4.7,    8.37,   17.0,   12.6, 1016.3,   14.7,    0.3,06,    4.2,   11.02,   11.0,    6.5,  59,NW,서수도,Seosudo,955,2017,5
 18,    0.6,   11.9,    5.3,    8.44,    9.3,   13.0, 1014.7,   15.3,    0.2,07,    4.2,   11.12,   10.8,    4.8,  73,SSW,서수도,Seosudo,955,2017,5
 11,    0.4,   11.9,    5.5,    8.47,    8.8,   14.2, 1014.1,   16.9,    0.1,08,    4.2,   11.26,   11.8,    4.6,  74,SSE,서수도,Seosudo,955,2017,5
 23,    0.5,   11.9,    5.4,    8.62,    8.7,   13.9, 1011.2,   16.2,    0.1,09,    4.3,   11.67,   12.1,    2.9,  81,SW,서수도,Seosudo,955,2017,5
 08,    0.5,   12.1,    5.0,    8.49,    8.6,   12.9, 1010.6,   15.2,    0.1,10,    4.2,   11.82,   12.0,    3.9,  90,SSW,서수도,Seosudo,955,2017,5
 14,    0.5,   12.3,    6.0,    8.54,    7.6,   15.0, 1011.8,   18.3,    0.1,11,    4.3,   12.05,   12.7,    2.6,  84,ESE,서수도,Seosudo,955,2017,5
 10,    0.4,   12.3,    4.8,    8.65,    9.7,   14.4, 1009.2,   17.7,    0.1,12,    4.1,   12.26,   12.8,    3.9,  90,SE,서수도,Seosudo,955,2017,5
 14,    1.4,   12.3,    5.6,    8.70,   25.4,   14.2, 1006.3,   19.3,    0.3,13,    4.2,   12.23,   12.1,    6.9,  86,S,서수도,Seosudo,955,2017,5
 04,    1.1,   12.4,    5.5,    8.59,   13.2,   13.0, 1010.5,   14.4,    0.4,14,    4.1,   12.12,   12.2,    8.0,  76,SW,서수도,Seosudo,955,2017,5
 10,    0.8,   12.5,    5.0,    8.60,   10.7,   12.9, 1012.8,   14.1,    0.3,15,    4.1,   11.91,   12.1,    5.9,  82,SW,서수도,Seosudo,955,2017,5
 16,    0.5,   12.9,    5.8,    8.57,    6.4,   13.3, 1011.6,   15.6,    0.1,16,    4.2,   11.70,   11.9,    2.5,  85,SSE,서수도,Seosudo,955,2017,5
 02,    0.4,   13.1,    5.7,    8.56,    5.5,   13.5, 1012.4,   15.8,    0.1,17,    4.3,   11.36,   11.4,    1.9,  87,SW,서수도,Seosudo,955,2017,5
 09>,    0.4>,   13.4,    5.1>,    8.68>,    7.2>,   15.9, 1016.2,   18.2>,    0.1>,18,    4.3>,   11.07>,   13.7>,    3.8>,  73,SSE>,서수도,Seosudo,955,2017,5
 07,    0.5,   13.6,    5.0,    8.53,    6.5,   16.7, 1017.4,   19.3,    0.1,19,    4.3,   10.71,   14.7,    2.9,  71,S,서수도,Seosudo,955,2017,5
 14,    0.9,   14.0,    5.4,    8.49,    4.8,   15.9, 1016.7,   18.7,    0.2,20,    4.5,   10.74,   14.6,    2.0,  75,SE,서수도,Seosudo,955,2017,5
 07,    0.9,   14.3,    5.7,    8.45,    5.3,   16.5, 1016.0,   19.6,    0.2,21,    4.5,   10.75,   14.8,    1.9,  71,SSE,서수도,Seosudo,955,2017,5
 07,    0.6,   14.5,    6.9,    8.42,    6.7,   16.5, 1014.7,   18.8,    0.2,22,    4.3,   11.04,   14.8,    2.4,  82,SW,서수도,Seosudo,955,2017,5
 21,    1.1,   14.6,    5.7,    8.44,    6.3,   16.4, 1011.3,   19.4,    0.2,23,    4.4,   11.39,   14.8,    2.3,  85,SE,서수도,Seosudo,955,2017,5
 06,    1.8,   14.6,    4.9,    8.43,    6.9,   16.1, 1009.0,   18.5,    0.2,24,    4.1,   11.73,   13.8,    3.5,  86,SW,서수도,Seosudo,955,2017,5
 06,    1.4,   14.6,    7.0,    8.53,   16.4,   15.9, 1006.1,   18.9,    0.3,25,    4.2,   12.39,   13.5,    7.5,  70,WNW,서수도,Seosudo,955,2017,5
 10,    1.8,   14.6,    5.2,    8.54,   14.6,   15.3, 1008.7,   17.0,    0.4,26,    4.3,   12.71,   14.5,    6.5,  64,WNW,서수도,Seosudo,955,2017,5
 01,    2.8,   14.7,    4.9,    8.67,    6.6,   15.3, 1012.8,   17.2,    0.3,27,    4.2,   13.08,   13.5,    2.7,  72,WSW,서수도,Seosudo,955,2017,5
 04>,    0.7>,   14.8,    5.5,    8.72,   11.7,   17.1, 1011.9,   20.5,    0.2>,28,    4.5,   13.03,   14.7,    5.6,  75,SSE,서수도,Seosudo,955,2017,5
 19>,    0.8>,   15.0,    5.8,    8.63,    8.9,   17.0, 1012.5,   19.2,    0.3>,29,    4.7,   12.75,   15.6,    3.1,  86,SE,서수도,Seosudo,955,2017,5
 05>,    0.7>,   15.1,    6.1,    8.61,    7.5,   18.1, 1010.0,   22.0,    0.2>,30,    4.4,   12.46,   15.4,    3.0,  75,SE,서수도,Seosudo,955,2017,5
 23>,    0.6>,   15.4,    6.1,    8.46,    7.9,   16.7, 1003.7,   19.8,    0.2>,31,    4.5,   11.93,   13.5,    2.5,  91,SE,서수도,Seosudo,955,2017,5
,    0.8,   13.1,    5.5,    8.54,,   14.8, 1012.9,   17.5,    0.2,월,    4.3,   11.73,   12.9,    3.8,  79,,서수도,Seosudo,955,2017,5
