TM_KST,STN_ID,STN_KO,LON_deg,LAT_deg,WH_m,WD_deg,WS_m/s,WS_GST,TW_C,TA_C,PA_hPa,HM_%
201508081400,21229,울릉도,131.11440000,37.45540000,0.3,130,2.4,3.2,27.1,26.5,1015.8,93.0
201508081400,22101,덕적도,126.01880000,37.23610000,1.3,340,6.5,8.2,21.9,22.8,1014.8,99.0
201508081400,22102,칠발도,125.77690000,34.79330000,0.5,275,4.3,11.2,22.1,24.3,1015.3,90.0
201508081400,22103,거문도,127.50140000,34.00140000,1.6,26,1.6,2.9,25.9,26.0,988.7,94.0
201508081400,22104,거제도,128.90000000,34.76670000,0.8,74,4.7,6.6,27.2,27.0,1019.4,89.0
201508081400,22105,동해,130.00000000,37.54420000,0.2,159,3.2,3.9,24.4,26.2,1014.4,91.0
201508081400,22106,포항,129.78330000,36.35000000,0.2,153,2.9,3.1,27.1,27.2,1014.1,85.0
201508081400,22107,마라도,126.03330000,33.08330000,1.9,100,3.9,5.1,28.8,29.7,1013.7,87.0
201508081400,22108,외연도,125.75000000,36.25000000,1.4,339,10.9,13.5,26.4,24.4,1015.0,93.0
201508081400,22183,신안,126.24170000,34.73330000,0.1,314,5.0,8.6,25.9,28.2,1014.8,82.0
201508081400,22184,추자도,126.14110000,33.79361000,0.7,54,4.0,5.1,28.3,28.8,1016.5,83.0
201508081400,22459,북항,129.12830000,35.09500000,0.7,-99,-99.0,-99.0,26.4,-99.0,-99.0,-99.0
201508081400,22457,제주항,126.49420000,33.52520000,0.6,-99,-99.0,-99.0,24.6,-99.0,-99.0,-99.0
201508081400,22454,장안,129.28830000,35.29770000,0.4,-99,-99.0,-99.0,25.7,-99.0,-99.0,-99.0
201508081400,22451,연곡,128.88600000,37.86680000,0.3,-99,-99.0,-99.0,26.4,-99.0,-99.0,-99.0
201508081400,22460,남항,128.95520000,35.02220000,0.5,-99,-99.0,-99.0,27.9,-99.0,-99.0,-99.0
201508081400,22468,추자도,126.27830000,33.97370000,0.5,-99,-99.0,-99.0,29.4,-99.0,-99.0,-99.0
201508081400,22448,하납덕도,126.20770000,34.76650000,0.1,-99,-99.0,-99.0,26.8,-99.0,-99.0,-99.0
201508081400,22444,신진도,126.12580000,36.60480000,0.8,-99,-99.0,-99.0,25.3,-99.0,-99.0,-99.0
201508081400,22461,이작도,126.20670000,37.16500000,0.3,-99,-99.0,-99.0,22.4,-99.0,-99.0,-99.0
201508081400,22472,자월도,126.15770000,37.30430000,0.8,-99,-99.0,-99.0,22.8,-99.0,-99.0,-99.0
201508081400,22455,해금강,128.69080000,34.73520000,0.6,-99,-99.0,-99.0,26.9,-99.0,-99.0,-99.0
201508081400,22485,소매물도,128.53930000,34.62020000,0.7,-99,-99.0,-99.0,24.5,-99.0,-99.0,-99.0
201508081400,22450,두미도,128.04430000,34.71650000,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
201508081400,22465,후포,129.48820000,36.71950000,0.2,-99,-99.0,-99.0,25.9,-99.0,-99.0,-99.0
201508081400,22441,독도,131.87170000,37.23830000,0.4,-99,-99.0,-99.0,25.0,-99.0,-99.0,-99.0
201508081400,22464,울릉읍,130.90100000,37.47120000,0.3,-99,-99.0,-99.0,27.0,-99.0,-99.0,-99.0
201508081400,22442,혈암,130.85420000,37.54150000,0.1,-99,-99.0,-99.0,26.7,-99.0,-99.0,-99.0
201508081400,22443,구암,130.80450000,37.47870000,0.3,-99,-99.0,-99.0,26.7,-99.0,-99.0,-99.0
201508081400,22466,금오도,127.77630000,34.56670000,0.2,-99,-99.0,-99.0,27.1,-99.0,-99.0,-99.0
201508081400,22478,고흥,127.17820000,34.37530000,0.6,-99,-99.0,-99.0,26.0,-99.0,-99.0,-99.0
201508081400,22477,노화도,126.49150000,34.24130000,0.2,-99,-99.0,-99.0,22.2,-99.0,-99.0,-99.0
201508081400,22456,청산도,126.74320000,34.13730000,0.8,-99,-99.0,-99.0,21.4,-99.0,-99.0,-99.0
201508081400,22481,맹골수도,125.95430000,34.22650000,0.7,-99,-99.0,-99.0,20.5,-99.0,-99.0,-99.0
201508081400,22449,진도,126.05530000,34.44150000,0.2,-99,-99.0,-99.0,20.1,-99.0,-99.0,-99.0
201508081400,22475,영광,126.17620000,35.43570000,0.6,-99,-99.0,-99.0,27.4,-99.0,-99.0,-99.0
201508081400,22462,안마도,126.01280000,35.37450000,0.9,-99,-99.0,-99.0,26.2,-99.0,-99.0,-99.0
201508081400,22474,군산,126.42570000,35.88800000,0.7,-99,-99.0,-99.0,27.8,-99.0,-99.0,-99.0
201508081400,22446,말도,126.31230000,35.85600000,0.7,-99,-99.0,-99.0,26.5,-99.0,-99.0,-99.0
201508081400,22471,토성,128.57570000,38.27700000,0.3,-99,-99.0,-99.0,27.6,-99.0,-99.0,-99.0
201508081400,22473,서천,126.33270000,36.16670000,0.7,-99,-99.0,-99.0,26.0,-99.0,-99.0,-99.0
201508081400,22445,삽시도,126.33830000,36.37130000,0.6,-99,-99.0,-99.0,25.7,-99.0,-99.0,-99.0
201508081400,22476,가파도,126.26380000,33.16270000,1.0,-99,-99.0,-99.0,27.1,-99.0,-99.0,-99.0
201508081400,22469,우도,126.96630000,33.52220000,0.5,-99,-99.0,-99.0,22.3,-99.0,-99.0,-99.0
201508081400,22458,중문,126.39270000,33.22570000,1.8,-99,-99.0,-99.0,28.2,-99.0,-99.0,-99.0
201508081400,22486,협재,126.20920000,33.40070000,0.4,-99,-99.0,-99.0,27.0,-99.0,-99.0,-99.0
201508081400,22483,간절곶,129.37520000,35.36700000,0.4,-99,-99.0,-99.0,27.8,-99.0,-99.0,-99.0
201508081400,22487,천수만,126.43970000,36.46700000,0.3,-99,-99.0,-99.0,27.7,-99.0,-99.0,-99.0
201508081400,22447,옥도,126.05550000,34.69280000,0.2,-99,-99.0,-99.0,24.6,-99.0,-99.0,-99.0
201508081400,22452,죽변,129.38920000,37.10380000,0.2,-99,-99.0,-99.0,24.9,-99.0,-99.0,-99.0
201508081400,22453,구룡포,129.58650000,35.99800000,0.3,-99,-99.0,-99.0,23.4,-99.0,-99.0,-99.0
201508081400,22467,한산도,128.49600000,34.70230000,0.6,-99,-99.0,-99.0,23.5,-99.0,-99.0,-99.0
201508081400,22470,풍도,126.37420000,37.11670000,0.3,-99,-99.0,-99.0,24.0,-99.0,-99.0,-99.0
201508081400,22479,삼척,129.22920000,37.40150000,0.3,-99,-99.0,-99.0,26.1,-99.0,-99.0,-99.0
201508081400,22691,표류15001,128.41220000,34.27183000,0.8,-99,-99.0,-99.0,27.1,-99.0,1012.5,-99.0
201508081400,22692,표류15002,126.19981000,35.76496000,0.8,-99,-99.0,-99.0,25.3,-99.0,1013.0,-99.0
201508081400,955,서수도,126.39333333,37.32500000,0.5,324,9.7,12.0,23.8,24.4,1013.9,-99.0
201508081400,956,가대암,125.97670000,36.77000000,1.2,8,10.3,17.4,22.2,22.5,1013.6,-99.0
201508081400,957,십이동파,126.22500000,35.98666667,0.9,338,11.8,16.9,25.7,24.2,1011.6,-99.0
201508081400,958,갈매여,126.24500000,35.61333333,0.1,338,11.2,16.6,26.0,26.5,1013.6,-99.0
201508081400,959,해수서,126.02666667,34.26333333,0.2,305,2.6,6.7,19.1,26.0,1014.0,-99.0
201508081400,960,지귀도,126.65420000,33.22333000,0.6,70,0.6,5.3,22.0,28.6,1013.7,-99.0
201508081400,961,간여암,127.85780000,34.28500000,1.1,104,3.2,9.2,18.1,27.2,1013.9,-99.0
201508081400,962,광안,129.13580000,35.13170000,0.2,71,7.4,9.9,24.4,27.6,1013.3,-99.0
201508081400,963,이덕서,129.47500000,35.56670000,0.2,75,3.0,6.7,26.3,27.4,1014.1,-99.0
201508081400,132129,왕돌초,129.73500000,36.71667000,0.2,123,3.5,4.5,-99.0,23.4,1012.0,-99.0
201508081400,158650,부산,129.03750000,35.09305556,-99.0,47,3.7,5.3,26.2,29.1,1015.0,-99.0
201508081400,217800,속초,128.59666667,38.20444444,-99.0,158,1.5,2.7,26.6,27.5,1012.0,-99.0
201508081400,217809,속초등표,128.61310000,38.19940000,0.1,225,3.7,4.1,-99.0,24.3,1011.0,-99.0
201508081400,240050,묵호,129.11861111,37.54750000,-99.0,142,1.5,1.9,26.0,17.2,1014.0,-99.0
201508081400,240806,동해항,129.14390000,37.49500000,0.1,118,0.4,1.3,-99.0,27.5,1012.0,-99.0
201508081400,325894,서천(마량),126.49560000,36.12860000,0.3,3,11.7,13.1,-99.0,25.3,1013.0,-99.0
201508081400,325903,장항,126.68750000,36.00694444,-99.0,44,4.1,8.3,-99.0,28.7,1013.0,-99.0
201508081400,355844,보령,126.48805550,36.40305555,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
201508081400,356870,대산,126.35444444,37.00472222,-99.0,354,3.6,4.0,22.2,23.5,1015.0,-99.0
201508081400,357914,태안,126.23860000,36.91330000,0.5,309,4.3,5.9,-99.0,22.1,1014.0,-99.0
201508081400,357945,안흥,126.13500000,36.67000000,-99.0,58,7.1,10.8,-99.0,22.5,1015.0,-99.0
201508081400,400031,인천,126.59416667,37.44916667,-99.0,337,7.0,7.8,26.1,23.3,1014.0,-99.0
201508081400,404170,영종대교,126.60800000,37.55390000,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
