TM_KST,STN_ID,STN_KO,LON_deg,LAT_deg,WH_m,WD_deg,WS_m/s,WS_GST,TW_C,TA_C,PA_hPa,HM_%
202106031400,21229,울릉도,131.11440000,37.45540000,0.7,185,5.3,6.1,17.8,20.5,1006.1,89.0
202106031400,22101,덕적도,126.01880000,37.23610000,0.3,74,1.0,3.0,14.0,15.6,1003.1,100.0
202106031400,22102,칠발도,125.77690000,34.79330000,0.7,35,3.5,4.3,16.6,17.5,1001.2,100.0
202106031400,22103,거문도,127.50140000,34.00140000,1.7,134,7.8,9.6,18.7,20.5,1001.5,94.0
202106031400,22104,거제도,128.90000000,34.76670000,0.9,94,3.7,4.5,19.0,19.7,1003.7,95.0
202106031400,22105,동해,130.00000000,37.54420000,1.0,204,7.8,10.4,18.2,18.3,1004.7,88.0
202106031400,22106,포항,129.78330000,36.35000000,0.6,196,7.6,9.8,18.6,19.8,1005.1,94.0
202106031400,22107,마라도,126.03330000,33.08330000,1.8,230,4.8,7.3,20.5,22.0,1001.6,-99.0
202106031400,22108,외연도,125.75000000,36.25000000,0.6,113,3.6,4.4,16.8,18.1,1003.3,94.0
202106031400,22183,신안,126.24170000,34.73330000,0.1,149,2.1,3.1,17.8,19.7,1001.7,94.0
202106031400,22184,추자도,126.14110000,33.79361000,1.2,243,3.9,6.4,19.9,21.5,1000.7,96.0
202106031400,22185,인천,125.42890000,37.09170000,0.5,182,1.4,3.1,15.5,16.5,1003.9,99.0
202106031400,22187,서귀포,127.02280000,33.12810000,1.9,210,5.0,6.0,21.2,21.8,1001.5,95.0
202106031400,22188,통영,128.22500000,34.39170000,1.4,114,6.8,8.8,19.3,19.9,1002.1,-99.0
202106031400,22189,울산,129.84140000,35.34530000,1.3,146,8.3,10.0,19.9,20.0,1004.7,89.0
202106031400,22190,울진,129.87440000,36.90690000,0.7,209,6.1,7.4,19.3,17.7,1005.4,88.0
202106031400,22191,서해170,124.05694000,36.13333000,0.8,287,0.8,1.7,16.9,17.2,1003.3,100.0
202106031400,22192,서해206,123.26250000,34.00000000,1.5,319,4.3,5.6,19.1,19.0,1002.4,100.0
202106031400,22297,가거도,125.21472200,34.02750000,1.5,-99,1.0,1.9,19.0,19.8,1004.7,96.0
202106031400,22298,홍도,125.24555600,34.74666700,0.8,108,3.6,4.2,17.0,17.1,1001.9,95.0
202106031400,22299,서해190,124.13000000,35.00000000,1.2,18,2.8,3.4,18.5,18.4,1002.8,97.0
202106031400,22300,남해239,124.73000000,32.83000000,1.4,235,3.9,4.5,19.4,20.5,1001.5,98.0
202106031400,22457,제주항,126.49420000,33.52520000,0.3,-99,-99.0,-99.0,20.3,-99.0,-99.0,-99.0
202106031400,22454,장안,129.28830000,35.29730000,0.4,-99,-99.0,-99.0,16.8,-99.0,-99.0,-99.0
202106031400,22451,연곡,128.88580000,37.86700000,0.4,-99,-99.0,-99.0,16.1,-99.0,-99.0,-99.0
202106031400,22468,추자도,126.27850000,33.97250000,0.7,-99,-99.0,-99.0,17.5,-99.0,-99.0,-99.0
202106031400,22444,신진도,126.12600000,36.60570000,0.3,-99,-99.0,-99.0,15.4,-99.0,-99.0,-99.0
202106031400,22490,월포,129.40170000,36.21680000,0.2,-99,-99.0,-99.0,17.6,-99.0,-99.0,-99.0
202106031400,22491,김녕,126.76420000,33.58180000,0.5,-99,-99.0,-99.0,18.5,-99.0,-99.0,-99.0
202106031400,22488,안면도,126.29780000,36.53670000,0.2,-99,-99.0,-99.0,14.9,-99.0,-99.0,-99.0
202106031400,22489,대치마도,126.03180000,35.01730000,0.2,-99,-99.0,-99.0,17.6,-99.0,-99.0,-99.0
202106031400,22461,이작도,126.20630000,37.16450000,0.2,-99,-99.0,-99.0,13.9,-99.0,-99.0,-99.0
202106031400,22472,자월도,126.15780000,37.30430000,0.3,-99,-99.0,-99.0,13.9,-99.0,-99.0,-99.0
202106031400,22455,해금강,128.69100000,34.73520000,0.9,-99,-99.0,-99.0,17.0,-99.0,-99.0,-99.0
202106031400,22485,소매물도,128.53780000,34.62120000,0.9,-99,-99.0,-99.0,17.1,-99.0,-99.0,-99.0
202106031400,22465,후포,129.48800000,36.71930000,0.3,-99,-99.0,-99.0,18.0,-99.0,-99.0,-99.0
202106031400,22464,울릉읍,130.90020000,37.47130000,0.7,-99,-99.0,-99.0,17.2,-99.0,-99.0,-99.0
202106031400,22442,혈암,130.85400000,37.54130000,0.2,-99,-99.0,-99.0,17.0,-99.0,-99.0,-99.0
202106031400,22443,구암,130.80420000,37.47920000,0.5,-99,-99.0,-99.0,17.1,-99.0,-99.0,-99.0
202106031330,22466,금오도,127.77630000,34.56670000,0.6,-99,-99.0,-99.0,18.3,-99.0,-99.0,-99.0
