TM_KST,STN_ID,STN_KO,LON_deg,LAT_deg,WH_m,WD_deg,WS_m/s,WS_GST,TW_C,TA_C,PA_hPa,HM_%
201906221400,21229,울릉도,131.11440000,37.45540000,1.5,359,6.7,8.4,19.4,18.5,1006.5,80.0
201906221400,22101,덕적도,126.01880000,37.23610000,0.1,15,3.6,4.4,16.9,19.6,1007.0,85.0
201906221400,22102,칠발도,125.77690000,34.79330000,0.3,326,1.9,2.1,16.4,18.4,1006.4,96.0
201906221400,22103,거문도,127.50140000,34.00140000,0.9,85,7.3,8.7,18.8,20.1,1008.5,88.0
201906221400,22104,거제도,128.90000000,34.76670000,1.5,74,9.3,11.4,20.6,20.4,1006.8,81.0
201906221400,22105,동해,130.00000000,37.54420000,1.2,335,8.2,9.9,20.5,20.3,1007.2,81.0
201906221400,22106,포항,129.78330000,36.35000000,1.5,25,7.2,8.8,20.6,19.9,1007.7,77.0
201906221400,22107,마라도,126.03330000,33.08330000,0.5,84,2.2,3.0,22.2,21.1,1006.0,87.0
201906221400,22108,외연도,125.75000000,36.25000000,0.4,304,1.1,1.9,21.8,19.5,1007.4,90.0
201906221400,22183,신안,126.24170000,34.73330000,0.1,219,3.3,3.9,20.9,21.4,1006.1,80.0
201906221400,22184,추자도,126.14110000,33.79361000,0.8,87,8.4,10.2,21.1,20.6,1005.9,89.0
201906221400,22185,인천,125.42890000,37.09170000,0.3,39,3.1,3.5,18.5,18.1,1006.5,87.0
201906221400,22186,부안,125.81390000,35.65860000,0.4,283,1.8,3.5,22.1,21.1,1006.7,89.0
201906221400,22187,서귀포,127.02280000,33.12810000,1.1,83,6.7,7.9,22.4,22.7,1005.9,85.0
201906221400,22188,통영,128.22500000,34.39170000,1.3,83,8.1,10.2,20.1,20.4,1006.2,81.0
201906221400,22189,울산,129.84140000,35.34530000,1.4,42,8.1,9.6,21.1,20.5,1006.7,74.0
201906221400,22190,울진,129.87440000,36.90690000,1.2,350,7.1,8.8,20.7,20.4,1007.9,78.0
201906221400,22457,제주항,126.49170000,33.52520000,0.8,-99,-99.0,-99.0,18.7,-99.0,-99.0,-99.0
201906221400,22454,장안,129.28800000,35.29720000,0.8,-99,-99.0,-99.0,19.5,-99.0,-99.0,-99.0
201906221400,22451,연곡,128.88620000,37.86670000,0.7,-99,-99.0,-99.0,20.2,-99.0,-99.0,-99.0
201906221400,22468,추자도,126.27820000,33.97280000,0.3,-99,-99.0,-99.0,16.6,-99.0,-99.0,-99.0
201906221400,22444,신진도,126.12620000,36.60470000,0.2,-99,-99.0,-99.0,15.1,-99.0,-99.0,-99.0
201906221400,22490,월포,129.40200000,36.21670000,0.9,-99,-99.0,-99.0,19.8,-99.0,-99.0,-99.0
201906221400,22491,김녕,126.76320000,33.58180000,1.0,-99,-99.0,-99.0,18.4,-99.0,-99.0,-99.0
201906221400,22488,안면도,126.29680000,36.53630000,0.2,-99,-99.0,-99.0,18.9,-99.0,-99.0,-99.0
201906221400,22461,이작도,126.20650000,37.16420000,0.1,-99,-99.0,-99.0,17.2,-99.0,-99.0,-99.0
201906221400,22472,자월도,126.15720000,37.30400000,0.2,-99,-99.0,-99.0,17.7,-99.0,-99.0,-99.0
201906221400,22455,해금강,128.69070000,34.73630000,1.3,-99,-99.0,-99.0,18.8,-99.0,-99.0,-99.0
201906221400,22485,소매물도,128.53850000,34.62100000,0.5,-99,-99.0,-99.0,18.9,-99.0,-99.0,-99.0
201906221400,22465,후포,129.48800000,36.71970000,0.8,-99,-99.0,-99.0,19.9,-99.0,-99.0,-99.0
201906221400,22464,울릉읍,130.90030000,37.47150000,0.8,-99,-99.0,-99.0,20.8,-99.0,-99.0,-99.0
201906221400,22442,혈암,130.85420000,37.54100000,1.1,-99,-99.0,-99.0,20.7,-99.0,-99.0,-99.0
201906221400,22443,구암,130.80400000,37.47920000,0.4,-99,-99.0,-99.0,21.2,-99.0,-99.0,-99.0
201906221400,22466,금오도,127.77620000,34.56700000,0.9,-99,-99.0,-99.0,20.5,-99.0,-99.0,-99.0
201906221400,22478,고흥,127.17800000,34.37530000,0.6,-99,-99.0,-99.0,19.6,-99.0,-99.0,-99.0
201906221400,22477,노화도,126.49130000,34.24150000,0.2,-99,-99.0,-99.0,18.2,-99.0,-99.0,-99.0
201906221400,22456,청산도,126.74300000,34.13780000,0.7,-99,-99.0,-99.0,16.5,-99.0,-99.0,-99.0
201906221400,22481,맹골수도,125.95420000,34.22620000,0.2,-99,-99.0,-99.0,15.5,-99.0,-99.0,-99.0
201906221400,22449,진도,126.05570000,34.44270000,0.1,-99,-99.0,-99.0,16.6,-99.0,-99.0,-99.0
201906221400,22474,군산,126.42570000,35.88780000,0.3,-99,-99.0,-99.0,20.9,-99.0,-99.0,-99.0
201906221400,22471,토성,128.57520000,38.27700000,0.4,-99,-99.0,-99.0,21.1,-99.0,-99.0,-99.0
201906221400,22473,서천,126.33220000,36.16670000,0.2,-99,-99.0,-99.0,18.6,-99.0,-99.0,-99.0
201906221400,22445,삽시도,126.33800000,36.37120000,0.1,-99,-99.0,-99.0,19.2,-99.0,-99.0,-99.0
201906221400,22476,가파도,126.26400000,33.16230000,0.5,-99,-99.0,-99.0,20.1,-99.0,-99.0,-99.0
201906221400,22469,우도,126.96630000,33.52220000,1.3,-99,-99.0,-99.0,19.3,-99.0,-99.0,-99.0
201906221400,22458,중문,126.39200000,33.22500000,0.6,-99,-99.0,-99.0,21.3,-99.0,-99.0,-99.0
201906221400,22492,비안도,126.35230000,35.74030000,0.3,-99,-99.0,-99.0,19.2,-99.0,-99.0,-99.0
201906221400,22486,협재,126.20920000,33.40120000,0.3,-99,-99.0,-99.0,19.8,-99.0,-99.0,-99.0
201906221400,22483,간절곶,129.37530000,35.36700000,1.2,-99,-99.0,-99.0,18.8,-99.0,-99.0,-99.0
201906221400,22484,잠도,128.68070000,35.05830000,0.4,-99,-99.0,-99.0,22.0,-99.0,-99.0,-99.0
201906221400,22441,독도,131.87020000,37.23720000,0.6,-99,-99.0,-99.0,18.9,-99.0,-99.0,-99.0
201906221400,22493,자은,125.86820000,34.91920000,0.2,-99,-99.0,-99.0,19.5,-99.0,-99.0,-99.0
201906221400,22494,낙월,126.21050000,35.20070000,0.2,-99,-99.0,-99.0,23.3,-99.0,-99.0,-99.0
201906221400,22459,오륙도,129.12820000,35.09500000,1.1,-99,-99.0,-99.0,18.9,-99.0,-99.0,-99.0
201906221400,22460,다대포,128.95680000,35.02220000,0.7,-99,-99.0,-99.0,19.8,-99.0,-99.0,-99.0
201906221400,22501,사량도,128.14070000,34.86050000,0.3,-99,-99.0,-99.0,22.0,-99.0,-99.0,-99.0
201906221400,22505,영락,126.19420000,33.23880000,0.3,-99,-99.0,-99.0,20.8,-99.0,-99.0,-99.0
201906221400,22495,신산,126.90550000,33.37830000,1.1,-99,-99.0,-99.0,21.5,-99.0,-99.0,-99.0
201906221400,22502,나로도,127.58970000,34.43230000,0.9,-99,-99.0,-99.0,20.6,-99.0,-99.0,-99.0
201906221400,22508,홍도,125.24570000,34.74750000,0.4,-99,-99.0,-99.0,16.0,-99.0,-99.0,-99.0
201906221400,22498,남해,127.99280000,34.69620000,0.6,-99,-99.0,-99.0,21.4,-99.0,-99.0,-99.0
201906221400,22504,위도,126.26080000,35.65820000,0.2,-99,-99.0,-99.0,20.1,-99.0,-99.0,-99.0
