TM_KST,STN_ID,STN_KO,LON_deg,LAT_deg,WH_m,WD_deg,WS_m/s,WS_GST,TW_C,TA_C,PA_hPa,HM_%
201704101400,21229,울릉도,131.11440000,37.45540000,1.2,114,7.1,9.0,11.1,10.4,1016.8,64.0
201704101400,22101,덕적도,126.01880000,37.23610000,0.2,133,4.2,4.8,7.0,12.7,1013.4,46.0
201704101400,22102,칠발도,125.77690000,34.79330000,0.7,354,3.7,4.8,8.3,10.5,1010.7,78.0
201704101400,22103,거문도,127.50140000,34.00140000,2.9,85,15.0,20.3,14.2,13.9,1009.5,80.0
201704101400,22104,거제도,128.90000000,34.76670000,3.1,68,12.8,16.7,14.3,13.6,1012.1,73.0
201704101400,22105,동해,130.00000000,37.54420000,1.2,136,5.4,7.0,14.8,11.4,1016.8,56.0
201704101400,22106,포항,129.78330000,36.35000000,1.6,109,6.4,8.8,14.9,12.0,1015.5,63.0
201704101400,22107,마라도,126.03330000,33.08330000,2.2,85,13.0,17.0,14.3,17.5,1007.6,78.0
201704101400,22108,외연도,125.75000000,36.25000000,0.3,10,1.9,2.2,9.6,9.9,1012.3,75.0
201704101400,22183,신안,126.24170000,34.73330000,0.2,336,4.9,5.8,11.2,13.7,1009.9,62.0
201704101400,22184,추자도,126.14110000,33.79361000,2.7,101,12.0,15.4,12.9,13.0,1008.9,72.0
201704101400,22185,인천,125.42890000,37.09170000,0.3,60,0.9,1.7,8.6,9.0,1013.5,78.0
201704101400,22186,부안,125.81390000,35.65860000,0.4,18,2.9,4.1,7.7,10.1,1013.5,79.0
201704101400,22187,서귀포,127.02280000,33.12810000,3.8,56,11.4,16.8,16.0,15.0,1007.9,81.0
201704101400,22188,통영,128.22500000,34.39170000,2.4,72,13.6,18.9,12.2,12.5,1010.7,76.0
201704101400,22189,울산,129.84140000,35.34530000,3.0,62,10.7,14.0,15.7,14.7,1012.9,70.0
201704101400,22190,울진,129.87440000,36.90690000,1.0,99,4.9,7.1,14.9,11.2,1016.6,60.0
201704101400,22459,북항,129.12820000,35.09470000,2.7,-99,-99.0,-99.0,14.1,-99.0,-99.0,-99.0
201704101400,22457,제주항,126.49350000,33.52520000,1.9,-99,-99.0,-99.0,14.6,-99.0,-99.0,-99.0
201704101400,22454,장안,129.28830000,35.29730000,2.4,-99,-99.0,-99.0,13.1,-99.0,-99.0,-99.0
