TM_KST,STN_ID,STN_KO,LON_deg,LAT_deg,WH_m,WD_deg,WS_m/s,WS_GST,TW_C,TA_C,PA_hPa,HM_%
201801281400,21229,울릉도,131.11440000,37.45540000,1.6,314,7.5,10.8,9.9,2.5,1013.3,63.0
201801281400,22101,덕적도,126.01880000,37.23610000,0.5,318,5.5,7.4,2.7,-2.1,1021.7,54.0
201801281400,22102,칠발도,125.77690000,34.79330000,0.8,46,2.9,4.0,3.8,-1.5,1022.0,90.0
201801281400,22103,거문도,127.50140000,34.00140000,0.8,348,8.2,11.6,13.6,3.2,1020.0,55.0
201801281400,22104,거제도,128.90000000,34.76670000,0.9,304,4.6,7.5,14.6,4.0,1017.9,45.0
201801281400,22105,동해,130.00000000,37.54420000,1.4,303,7.0,10.1,10.5,1.7,1014.2,46.0
201801281400,22106,포항,129.78330000,36.35000000,1.4,292,9.9,13.7,13.0,2.6,1015.4,46.0
201801281400,22107,마라도,126.03330000,33.08330000,1.5,-99,-99.0,-99.0,15.2,4.4,1021.6,70.0
201801281400,22108,외연도,125.75000000,36.25000000,0.6,326,1.7,3.8,4.6,-1.0,1022.2,61.0
201801281400,22183,신안,126.24170000,34.73330000,0.2,339,3.2,5.0,5.7,-1.0,1021.5,57.0
201801281400,22184,추자도,126.14110000,33.79361000,1.0,345,10.3,14.4,13.7,2.6,1020.4,67.0
201801281400,22185,인천,125.42890000,37.09170000,0.6,352,4.7,6.7,4.3,-2.6,1005.0,84.0
201801281400,22186,부안,125.81390000,35.65860000,0.8,64,1.1,3.0,5.9,-1.2,1025.2,86.0
201801281400,22187,서귀포,127.02280000,33.12810000,1.6,5,13.4,16.9,16.4,5.4,1020.1,76.0
201801281400,22188,통영,128.22500000,34.39170000,1.1,310,7.0,9.8,14.0,2.8,1018.7,48.0
201801281400,22189,울산,129.84140000,35.34530000,1.3,300,6.9,10.0,13.9,3.7,1017.1,51.0
201801281400,22190,울진,129.87440000,36.90690000,1.2,297,3.9,7.7,12.3,2.8,1015.0,44.0
201801281400,22459,북항,129.12820000,35.09450000,0.6,-99,-99.0,-99.0,12.1,-99.0,-99.0,-99.0
201801281400,22457,제주항,126.49450000,33.52530000,0.8,-99,-99.0,-99.0,13.6,-99.0,-99.0,-99.0
201801281400,22454,장안,129.28850000,35.29750000,0.7,-99,-99.0,-99.0,13.0,-99.0,-99.0,-99.0
